x,y,spawned,detected,attained,time_to_discover,time_to_completion,discover_completion
-2.25,-1.75,1970-01-01 01:00:02,1970-01-01 01:00:28,1970-01-01 01:00:38,0:00:26,0:00:10,0:00:36
-2.75,-0.75,1970-01-01 01:00:12,1970-01-01 01:00:20,1970-01-01 01:00:46,0:00:08,0:00:26,0:00:34
0.25,2.25,1970-01-01 01:00:22,1970-01-01 01:00:29,1970-01-01 01:01:35,0:00:07,0:01:06,0:01:13
-0.75,-3.75,1970-01-01 01:00:32,1970-01-01 01:00:39,1970-01-01 01:01:03,0:00:07,0:00:24,0:00:31
0.25,3.25,1970-01-01 01:00:43,,,,,
-1.75,-0.25,1970-01-01 01:00:53,,,,,
0.25,4.25,1970-01-01 01:01:03,,,,,
-0.25,-3.75,1970-01-01 01:01:13,1970-01-01 01:01:19,1970-01-01 01:01:55,0:00:06,0:00:36,0:00:42
1.25,-1.75,1970-01-01 01:01:23,,,,,
1.25,-2.25,1970-01-01 01:01:33,,,,,
-0.75,-2.25,1970-01-01 01:01:43,1970-01-01 01:01:58,1970-01-01 01:02:37,0:00:15,0:00:39,0:00:54
-2.25,-2.25,1970-01-01 01:01:53,1970-01-01 01:01:54,1970-01-01 01:02:20,0:00:01,0:00:26,0:00:27
-1.25,-3.25,1970-01-01 01:02:03,1970-01-01 01:02:09,1970-01-01 01:02:28,0:00:06,0:00:19,0:00:25
2.25,4.25,1970-01-01 01:02:13,,,,,
-2.75,2.75,1970-01-01 01:02:24,,,,,
-1.25,-2.75,1970-01-01 01:02:34,1970-01-01 01:02:46,1970-01-01 01:03:14,0:00:12,0:00:28,0:00:40
-1.25,-2.25,1970-01-01 01:02:44,1970-01-01 01:02:49,1970-01-01 01:03:21,0:00:05,0:00:32,0:00:37
4.25,-0.25,1970-01-01 01:02:54,,,,,
-0.75,-0.25,1970-01-01 01:03:04,,,,,
-2.75,2.25,1970-01-01 01:03:14,,,,,
2.25,-1.75,1970-01-01 01:03:24,,,,,
-0.75,0.75,1970-01-01 01:03:34,,,,,
1.75,-4.25,1970-01-01 01:03:44,,,,,
-2.25,-0.75,1970-01-01 01:03:54,,,,,
-0.75,-1.25,1970-01-01 01:04:05,,,,,
2.75,-4.25,1970-01-01 01:04:15,,,,,
2.25,-1.75,1970-01-01 01:00:02,,,,,
2.25,2.75,1970-01-01 01:00:12,1970-01-01 01:00:19,1970-01-01 01:00:50,0:00:07,0:00:31,0:00:38
-2.75,2.75,1970-01-01 01:00:22,,,,,
1.25,3.75,1970-01-01 01:00:32,1970-01-01 01:00:39,1970-01-01 01:01:21,0:00:07,0:00:42,0:00:49
2.75,3.75,1970-01-01 01:00:42,1970-01-01 01:00:49,1970-01-01 01:01:30,0:00:07,0:00:41,0:00:48
1.25,2.25,1970-01-01 01:00:53,1970-01-01 01:00:53,1970-01-01 01:01:10,0:00:00,0:00:17,0:00:17
-0.25,-3.25,1970-01-01 01:02:33,1970-01-01 01:02:39,1970-01-01 01:03:24,0:00:06,0:00:45,0:00:51
0.75,0.75,1970-01-01 01:01:13,1970-01-01 01:01:19,1970-01-01 01:01:41,0:00:06,0:00:22,0:00:28
0.75,-2.25,1970-01-01 01:01:23,1970-01-01 01:01:59,1970-01-01 01:02:44,0:00:36,0:00:45,0:01:21
2.25,-4.25,1970-01-01 01:01:33,,,,,
-0.25,4.25,1970-01-01 01:01:43,,,,,
0.25,-0.75,1970-01-01 01:01:53,,,,,
0.75,-3.75,1970-01-01 01:02:03,1970-01-01 01:02:09,1970-01-01 01:02:24,0:00:06,0:00:15,0:00:21
2.25,0.75,1970-01-01 01:02:13,1970-01-01 01:02:46,1970-01-01 01:03:05,0:00:33,0:00:19,0:00:52
0.75,1.25,1970-01-01 01:02:23,1970-01-01 01:02:38,1970-01-01 01:02:56,0:00:15,0:00:18,0:00:33
-0.25,-3.25,1970-01-01 01:02:33,1970-01-01 01:02:39,1970-01-01 01:03:24,0:00:06,0:00:45,0:00:51
-1.25,4.25,1970-01-01 01:02:44,,,,,
-2.25,-2.25,1970-01-01 01:02:54,1970-01-01 01:03:27,1970-01-01 01:03:38,0:00:33,0:00:11,0:00:44
1.25,-0.25,1970-01-01 01:03:04,,,,,
-3.25,2.25,1970-01-01 01:03:14,1970-01-01 01:03:54,,0:00:40,,
0.75,-3.25,1970-01-01 01:03:24,,,,,
-2.75,-2.25,1970-01-01 01:03:34,,,,,
-0.75,3.75,1970-01-01 01:03:44,1970-01-01 01:03:56,,0:00:12,,
2.75,-3.75,1970-01-01 01:03:54,,,,,
-3.75,-2.25,1970-01-01 01:04:04,,,,,
-2.75,2.75,1970-01-01 01:00:02,1970-01-01 01:00:19,1970-01-01 01:03:24,0:00:17,0:03:05,0:03:22
-1.25,-2.75,1970-01-01 01:00:12,1970-01-01 01:00:30,1970-01-01 01:01:12,0:00:18,0:00:42,0:01:00
-2.25,2.75,1970-01-01 01:00:22,,,,,
-1.25,-4.25,1970-01-01 01:00:32,1970-01-01 01:00:38,1970-01-01 01:01:03,0:00:06,0:00:25,0:00:31
-0.75,-3.25,1970-01-01 01:00:42,1970-01-01 01:00:44,1970-01-01 01:00:49,0:00:02,0:00:05,0:00:07
-3.25,3.75,1970-01-01 01:00:52,1970-01-01 01:01:33,1970-01-01 01:03:35,0:00:41,0:02:02,0:02:43
1.25,3.25,1970-01-01 01:01:13,1970-01-01 01:04:04,,0:02:51,,
-3.25,2.75,1970-01-01 01:01:23,1970-01-01 01:01:27,1970-01-01 01:03:28,0:00:04,0:02:01,0:02:05
3.75,3.75,1970-01-01 01:01:33,1970-01-01 01:04:16,,0:02:43,,
