x,y,spawned,detected,attained,time_to_discover,time_to_completion,discover_completion
2.25,-1.75,1970-01-01 01:00:02,,,,,
2.25,2.75,1970-01-01 01:00:12,1970-01-01 01:00:26,1970-01-01 01:00:31,0:00:14,0:00:05,0:00:19
-2.75,2.75,1970-01-01 01:00:22,,,,,
1.25,3.75,1970-01-01 01:00:32,,,,,
2.75,3.75,1970-01-01 01:00:42,1970-01-01 01:01:45,1970-01-01 01:02:23,0:01:03,0:00:38,0:01:41
1.25,2.25,1970-01-01 01:00:52,1970-01-01 01:02:28,1970-01-01 01:02:41,0:01:36,0:00:13,0:01:49
-0.25,-3.25,1970-01-01 01:02:33,,,,,
0.75,0.75,1970-01-01 01:01:13,1970-01-01 01:01:49,1970-01-01 01:02:44,0:00:36,0:00:55,0:01:31
0.75,-2.25,1970-01-01 01:01:23,,,,,
2.25,-4.25,1970-01-01 01:01:33,,,,,
-0.25,4.25,1970-01-01 01:01:43,,,,,
0.25,-0.75,1970-01-01 01:01:53,,,,,
0.75,-3.75,1970-01-01 01:02:03,,,,,
2.25,0.75,1970-01-01 01:02:13,1970-01-01 01:02:59,1970-01-01 01:03:10,0:00:46,0:00:11,0:00:57
0.75,1.25,1970-01-01 01:02:23,,,,,
-0.25,-3.25,1970-01-01 01:02:33,,,,,
-1.25,4.25,1970-01-01 01:02:43,,,,,
-2.25,-2.25,1970-01-01 01:02:53,,,,,
1.25,-0.25,1970-01-01 01:03:04,1970-01-01 01:03:04,1970-01-01 01:03:09,0:00:00,0:00:05,0:00:05
