x,y,spawned,detected,attained,time_to_discover,time_to_completion,discover_completion
2.75,-3.75,1970-01-01 01:00:02,1970-01-01 01:00:44,1970-01-01 01:00:58,42.0,14.0,56.0
1.25,-4.25,1970-01-01 01:00:12,1970-01-01 01:00:37,1970-01-01 01:01:10,25.0,33.0,58.0
0.25,3.75,1970-01-01 01:00:22,,,,,
1.25,-3.75,1970-01-01 01:00:32,1970-01-01 01:00:43,1970-01-01 01:01:14,11.0,31.0,42.0
-1.75,-3.75,1970-01-01 01:00:42,,,,,
2.75,-1.25,1970-01-01 01:00:52,,,,,
0.25,1.75,1970-01-01 01:01:02,,,,,
1.75,-2.75,1970-01-01 01:01:12,,,,,
-0.25,-2.25,1970-01-01 01:01:22,,,,,
2.25,2.25,1970-01-01 01:01:33,,,,,
-2.25,-2.25,1970-01-01 01:01:43,1970-01-01 01:01:48,1970-01-01 01:02:21,5.0,33.0,38.0
-0.75,-3.75,1970-01-01 01:01:53,,,,,
-0.75,0.25,1970-01-01 01:02:03,,,,,
1.75,-1.75,1970-01-01 01:02:13,,,,,
1.75,0.75,1970-01-01 01:02:23,1970-01-01 01:02:29,1970-01-01 01:02:51,6.0,22.0,28.0
-2.25,2.25,1970-01-01 01:02:33,,,,,
-2.75,-4.25,1970-01-01 01:02:43,,,,,
-3.25,0.25,1970-01-01 01:02:53,1970-01-01 01:03:14,,21.0,,
1.25,3.25,1970-01-01 01:03:03,,,,,
-2.75,-2.25,1970-01-01 01:03:13,,,,,
-2.75,2.75,1970-01-01 01:00:03,1970-01-01 01:03:04,,181.0,,
-1.25,-3.75,1970-01-01 01:00:13,,,,,
-2.25,2.25,1970-01-01 01:00:23,,,,,
-1.75,0.75,1970-01-01 01:00:33,,,,,
-0.75,-4.25,1970-01-01 01:00:43,,,,,
-3.25,3.75,1970-01-01 01:00:53,,,,,
-1.75,-1.25,1970-01-01 01:01:03,,,,,
1.25,3.25,1970-01-01 01:01:13,,,,,
-3.25,2.75,1970-01-01 01:01:24,1970-01-01 01:03:04,,100.0,,
3.75,3.25,1970-01-01 01:01:34,,,,,
-0.25,-3.75,1970-01-01 01:01:44,,,,,
0.25,-3.25,1970-01-01 01:01:54,1970-01-01 01:02:05,1970-01-01 01:02:30,11.0,25.0,36.0
-1.25,-4.25,1970-01-01 01:02:04,,,,,
0.75,-1.75,1970-01-01 01:02:14,,,,,
1.25,-4.25,1970-01-01 01:02:24,,,,,
3.75,1.25,1970-01-01 01:02:34,,,,,
1.25,-3.25,1970-01-01 01:02:44,,,,,
-3.75,3.25,1970-01-01 01:02:54,,,,,
1.25,0.75,1970-01-01 01:03:04,,,,,
2.25,-1.75,1970-01-01 01:00:02,,,,,
2.25,2.75,1970-01-01 01:00:12,,,,,
-2.75,2.75,1970-01-01 01:00:22,,,,,
1.25,3.75,1970-01-01 01:00:32,1970-01-01 01:00:38,1970-01-01 01:01:19,6.0,41.0,47.0
2.75,3.75,1970-01-01 01:00:42,1970-01-01 01:00:48,1970-01-01 01:01:35,6.0,47.0,53.0
1.25,2.25,1970-01-01 01:00:52,1970-01-01 01:00:58,1970-01-01 01:01:09,6.0,11.0,17.0
0.75,0.75,1970-01-01 01:01:12,,,,,
0.75,-2.25,1970-01-01 01:01:22,1970-01-01 01:02:10,1970-01-01 01:02:21,48.0,11.0,59.0
2.25,-4.25,1970-01-01 01:01:32,1970-01-01 01:01:44,1970-01-01 01:01:59,12.0,15.0,27.0
-0.25,4.25,1970-01-01 01:01:43,,,,,
0.25,-0.75,1970-01-01 01:01:53,,,,,
0.75,-3.75,1970-01-01 01:02:03,,,,,
2.25,0.75,1970-01-01 01:02:13,,,,,
0.75,1.25,1970-01-01 01:02:23,,,,,
-1.25,4.25,1970-01-01 01:02:43,,,,,
-2.25,-2.25,1970-01-01 01:02:53,1970-01-01 01:02:54,1970-01-01 01:03:03,1.0,9.0,10.0
1.25,-0.25,1970-01-01 01:03:03,,,,,
1.25,-3.25,1970-01-01 01:00:02,,,,,
-2.75,-0.25,1970-01-01 01:00:12,1970-01-01 01:00:18,1970-01-01 01:00:34,6.0,16.0,22.0
0.75,-3.25,1970-01-01 01:00:22,1970-01-01 01:00:38,1970-01-01 01:01:02,16.0,24.0,40.0
-3.25,3.25,1970-01-01 01:00:32,1970-01-01 01:01:28,1970-01-01 01:01:57,56.0,29.0,85.0
0.25,-0.75,1970-01-01 01:00:42,,,,,
0.25,-2.25,1970-01-01 01:00:52,,,,,
3.75,1.75,1970-01-01 01:01:02,,,,,
-2.75,-2.25,1970-01-01 01:01:12,,,,,
0.75,-1.75,1970-01-01 01:01:22,,,,,
3.25,-1.75,1970-01-01 01:01:33,,,,,
1.25,-2.25,1970-01-01 01:01:43,,,,,
-2.25,-2.75,1970-01-01 01:01:53,,,,,
-0.75,3.25,1970-01-01 01:02:03,,,,,
-1.75,-4.25,1970-01-01 01:02:13,,,,,
2.75,-0.75,1970-01-01 01:02:23,,,,,
0.25,3.75,1970-01-01 01:02:33,,,,,
1.25,-0.75,1970-01-01 01:02:43,,,,,
2.25,0.75,1970-01-01 01:02:53,,,,,
-2.25,3.75,1970-01-01 01:03:03,,,,,
2.75,-1.75,1970-01-01 01:03:24,,,,,
2.75,-1.75,1970-01-01 01:03:24,,,,,
-2.25,-1.75,1970-01-01 01:00:03,,,,,
-2.75,-0.75,1970-01-01 01:00:13,1970-01-01 01:00:19,1970-01-01 01:00:47,6.0,28.0,34.0
0.25,1.75,1970-01-01 01:00:23,1970-01-01 01:00:28,1970-01-01 01:01:24,5.0,56.0,61.0
-1.25,4.25,1970-01-01 01:00:33,1970-01-01 01:00:47,1970-01-01 01:01:07,14.0,20.0,34.0
0.25,3.25,1970-01-01 01:00:43,,,,,
-1.75,-0.25,1970-01-01 01:00:53,,,,,
0.25,4.25,1970-01-01 01:01:03,,,,,
-0.75,4.25,1970-01-01 01:01:13,,,,,
1.25,-1.75,1970-01-01 01:01:23,,,,,
1.25,-2.25,1970-01-01 01:01:33,,,,,
-0.75,-3.25,1970-01-01 01:01:43,,,,,
-2.25,-2.25,1970-01-01 01:01:53,,,,,
-1.25,-3.75,1970-01-01 01:02:04,,,,,
2.25,3.75,1970-01-01 01:02:14,,,,,
-2.75,2.25,1970-01-01 01:02:24,,,,,
-1.25,-3.25,1970-01-01 01:02:44,,,,,
-1.25,-3.25,1970-01-01 01:02:44,,,,,
4.25,-0.75,1970-01-01 01:02:54,,,,,
