x,y,spawned,detected,attained,time_to_discover,time_to_completion,discover_completion
-2.25,-1.75,1970-01-01 01:00:03,,,,,
-2.75,-0.75,1970-01-01 01:00:13,1970-01-01 01:00:19,1970-01-01 01:00:47,6.0,28.0,34.0
0.25,1.75,1970-01-01 01:00:23,1970-01-01 01:00:28,1970-01-01 01:01:24,5.0,56.0,61.0
-1.25,4.25,1970-01-01 01:00:33,1970-01-01 01:00:47,1970-01-01 01:01:07,14.0,20.0,34.0
0.25,3.25,1970-01-01 01:00:43,,,,,
-1.75,-0.25,1970-01-01 01:00:53,,,,,
0.25,4.25,1970-01-01 01:01:03,,,,,
-0.75,4.25,1970-01-01 01:01:13,,,,,
1.25,-1.75,1970-01-01 01:01:23,,,,,
1.25,-2.25,1970-01-01 01:01:33,,,,,
-0.75,-3.25,1970-01-01 01:01:43,,,,,
-2.25,-2.25,1970-01-01 01:01:53,,,,,
-1.25,-3.75,1970-01-01 01:02:04,,,,,
2.25,3.75,1970-01-01 01:02:14,,,,,
-2.75,2.25,1970-01-01 01:02:24,,,,,
-1.25,-3.25,1970-01-01 01:02:44,,,,,
-1.25,-3.25,1970-01-01 01:02:44,,,,,
4.25,-0.75,1970-01-01 01:02:54,,,,,
