x,y,spawned,detected,attained,time_to_discover,time_to_completion,discover_completion
2.25,-1.75,1970-01-01 01:00:02,,,,,
2.25,2.75,1970-01-01 01:00:12,1970-01-01 01:00:18,1970-01-01 01:01:00,6.0,42.0,48.0
-2.75,2.75,1970-01-01 01:00:22,,,,,
1.25,3.75,1970-01-01 01:00:32,1970-01-01 01:00:39,1970-01-01 01:01:16,7.0,37.0,44.0
2.75,3.75,1970-01-01 01:00:43,1970-01-01 01:00:44,1970-01-01 01:00:53,1.0,9.0,10.0
1.25,2.25,1970-01-01 01:00:53,1970-01-01 01:00:54,1970-01-01 01:01:07,1.0,13.0,14.0
-0.25,-3.25,1970-01-01 01:02:34,1970-01-01 01:03:09,1970-01-01 01:03:26,35.0,17.0,52.0
0.75,0.75,1970-01-01 01:01:13,1970-01-01 01:01:14,1970-01-01 01:01:23,1.0,9.0,10.0
0.75,-2.25,1970-01-01 01:01:23,,,,,
2.25,-4.25,1970-01-01 01:01:33,,,,,
-0.25,4.25,1970-01-01 01:01:44,,,,,
0.25,-0.75,1970-01-01 01:01:54,,,,,
0.75,-3.75,1970-01-01 01:02:04,,,,,
2.25,0.75,1970-01-01 01:02:14,1970-01-01 01:02:30,1970-01-01 01:03:01,16.0,31.0,47.0
0.75,1.25,1970-01-01 01:02:24,1970-01-01 01:02:30,1970-01-01 01:02:53,6.0,23.0,29.0
-0.25,-3.25,1970-01-01 01:02:34,1970-01-01 01:03:09,1970-01-01 01:03:26,35.0,17.0,52.0
-1.25,4.25,1970-01-01 01:02:44,,,,,
-2.25,-2.25,1970-01-01 01:02:54,1970-01-01 01:03:16,1970-01-01 01:03:37,22.0,21.0,43.0
1.25,-0.25,1970-01-01 01:03:04,,,,,
-3.25,2.25,1970-01-01 01:03:14,1970-01-01 01:03:50,1970-01-01 01:04:14,36.0,24.0,60.0
0.75,-3.25,1970-01-01 01:03:24,,,,,
-2.75,-2.25,1970-01-01 01:03:34,,,,,
-0.75,3.75,1970-01-01 01:03:45,1970-01-01 01:03:49,1970-01-01 01:04:06,4.0,17.0,21.0
2.75,-3.75,1970-01-01 01:03:55,,,,,
-3.75,-2.25,1970-01-01 01:04:05,,,,,
3.75,-3.75,1970-01-01 01:04:15,,,,,
2.75,-3.25,1970-01-01 01:00:02,1970-01-01 01:00:50,1970-01-01 01:01:28,48.0,38.0,86.0
1.25,-4.25,1970-01-01 01:00:12,1970-01-01 01:00:37,1970-01-01 01:00:53,25.0,16.0,41.0
0.25,4.25,1970-01-01 01:00:22,,,,,
1.25,-3.75,1970-01-01 01:00:32,1970-01-01 01:00:38,1970-01-01 01:01:00,6.0,22.0,28.0
-1.75,-3.25,1970-01-01 01:00:42,,,,,
2.75,-1.25,1970-01-01 01:00:52,,,,,
0.25,2.25,1970-01-01 01:01:02,1970-01-01 01:01:21,1970-01-01 01:01:39,19.0,18.0,37.0
1.75,-2.75,1970-01-01 01:01:12,1970-01-01 01:01:21,,9.0,,
-0.25,-1.25,1970-01-01 01:01:23,1970-01-01 01:01:28,1970-01-01 01:02:03,5.0,35.0,40.0
2.25,2.75,1970-01-01 01:01:33,1970-01-01 01:01:34,1970-01-01 01:02:29,1.0,55.0,56.0
-2.25,-2.25,1970-01-01 01:01:43,1970-01-01 01:01:52,,9.0,,
-0.75,-2.75,1970-01-01 01:01:53,,,,,
-0.75,1.25,1970-01-01 01:02:03,1970-01-01 01:02:11,1970-01-01 01:03:00,8.0,49.0,57.0
1.75,-1.75,1970-01-01 01:02:13,,,,,
1.75,0.75,1970-01-01 01:02:23,1970-01-01 01:02:30,1970-01-01 01:02:45,7.0,15.0,22.0
-2.25,2.25,1970-01-01 01:02:33,,,,,
-2.75,-4.25,1970-01-01 01:02:43,,,,,
-3.25,-0.25,1970-01-01 01:02:53,1970-01-01 01:02:58,,5.0,,
1.25,2.75,1970-01-01 01:03:03,,,,,
-2.25,-1.75,1970-01-01 01:00:02,1970-01-01 01:00:28,1970-01-01 01:00:39,26.0,11.0,37.0
-2.75,-0.75,1970-01-01 01:00:12,1970-01-01 01:00:20,1970-01-01 01:00:49,8.0,29.0,37.0
0.25,2.25,1970-01-01 01:00:22,1970-01-01 01:00:29,1970-01-01 01:01:34,7.0,65.0,72.0
-0.75,-3.75,1970-01-01 01:00:33,1970-01-01 01:00:39,1970-01-01 01:01:02,6.0,23.0,29.0
0.25,3.25,1970-01-01 01:00:43,,,,,
-1.75,-0.25,1970-01-01 01:00:53,,,,,
0.25,4.25,1970-01-01 01:01:03,,,,,
-0.25,-3.75,1970-01-01 01:01:13,1970-01-01 01:01:19,1970-01-01 01:01:54,6.0,35.0,41.0
1.25,-1.75,1970-01-01 01:01:23,,,,,
1.25,-2.25,1970-01-01 01:01:33,,,,,
-0.75,-2.25,1970-01-01 01:01:43,1970-01-01 01:01:49,1970-01-01 01:02:23,6.0,34.0,40.0
-2.25,-2.25,1970-01-01 01:01:53,1970-01-01 01:01:54,1970-01-01 01:02:11,1.0,17.0,18.0
-1.25,-3.25,1970-01-01 01:02:03,1970-01-01 01:02:04,1970-01-01 01:02:30,1.0,26.0,27.0
2.25,4.25,1970-01-01 01:02:13,,,,,
-2.75,2.75,1970-01-01 01:02:24,,,,,
-1.25,-2.75,1970-01-01 01:02:34,,,,,
-1.25,-2.25,1970-01-01 01:02:44,1970-01-01 01:02:44,1970-01-01 01:03:08,0.0,24.0,24.0
4.25,-0.25,1970-01-01 01:02:54,,,,,
-0.75,-0.25,1970-01-01 01:03:04,,,,,
-2.75,2.25,1970-01-01 01:03:14,,,,,
1.25,-3.25,1970-01-01 01:00:02,,,,,
-2.75,-0.25,1970-01-01 01:00:12,1970-01-01 01:00:18,1970-01-01 01:00:33,6.0,15.0,21.0
0.75,-3.25,1970-01-01 01:00:22,1970-01-01 01:00:33,1970-01-01 01:00:48,11.0,15.0,26.0
-3.25,3.25,1970-01-01 01:00:32,1970-01-01 01:00:36,1970-01-01 01:00:58,4.0,22.0,26.0
0.25,-0.75,1970-01-01 01:00:42,,,,,
0.25,-2.25,1970-01-01 01:00:52,1970-01-01 01:00:59,1970-01-01 01:01:33,7.0,34.0,41.0
3.75,1.75,1970-01-01 01:01:02,,,,,
-2.75,-2.25,1970-01-01 01:01:12,,,,,
0.75,-1.75,1970-01-01 01:01:22,1970-01-01 01:01:40,1970-01-01 01:02:18,18.0,38.0,56.0
3.25,-1.75,1970-01-01 01:01:33,,,,,
1.25,-2.25,1970-01-01 01:01:43,,,,,
-2.25,-2.75,1970-01-01 01:01:53,1970-01-01 01:02:27,1970-01-01 01:02:56,34.0,29.0,63.0
-0.75,3.25,1970-01-01 01:02:03,1970-01-01 01:02:41,1970-01-01 01:02:58,38.0,17.0,55.0
-1.75,-4.25,1970-01-01 01:02:13,,,,,
2.75,-0.75,1970-01-01 01:02:23,,,,,
0.25,3.75,1970-01-01 01:02:33,1970-01-01 01:02:52,,19.0,,
1.25,-0.75,1970-01-01 01:02:43,,,,,
2.25,0.75,1970-01-01 01:02:53,,,,,
-2.75,2.75,1970-01-01 01:00:02,,,,,
