x,y,spawned,detected,attained,time_to_discover,time_to_completion,discover_completion
-2.25,-1.75,1970-01-01 01:00:02,1970-01-01 01:00:28,1970-01-01 01:00:39,26.0,11.0,37.0
-2.75,-0.75,1970-01-01 01:00:12,1970-01-01 01:00:20,1970-01-01 01:00:49,8.0,29.0,37.0
0.25,2.25,1970-01-01 01:00:22,1970-01-01 01:00:29,1970-01-01 01:01:34,7.0,65.0,72.0
-0.75,-3.75,1970-01-01 01:00:33,1970-01-01 01:00:39,1970-01-01 01:01:02,6.0,23.0,29.0
0.25,3.25,1970-01-01 01:00:43,,,,,
-1.75,-0.25,1970-01-01 01:00:53,,,,,
0.25,4.25,1970-01-01 01:01:03,,,,,
-0.25,-3.75,1970-01-01 01:01:13,1970-01-01 01:01:19,1970-01-01 01:01:54,6.0,35.0,41.0
1.25,-1.75,1970-01-01 01:01:23,,,,,
1.25,-2.25,1970-01-01 01:01:33,,,,,
-0.75,-2.25,1970-01-01 01:01:43,1970-01-01 01:01:49,1970-01-01 01:02:23,6.0,34.0,40.0
-2.25,-2.25,1970-01-01 01:01:53,1970-01-01 01:01:54,1970-01-01 01:02:11,1.0,17.0,18.0
-1.25,-3.25,1970-01-01 01:02:03,1970-01-01 01:02:04,1970-01-01 01:02:30,1.0,26.0,27.0
2.25,4.25,1970-01-01 01:02:13,,,,,
-2.75,2.75,1970-01-01 01:02:24,,,,,
-1.25,-2.75,1970-01-01 01:02:34,,,,,
-1.25,-2.25,1970-01-01 01:02:44,1970-01-01 01:02:44,1970-01-01 01:03:08,0.0,24.0,24.0
4.25,-0.25,1970-01-01 01:02:54,,,,,
-0.75,-0.25,1970-01-01 01:03:04,,,,,
-2.75,2.25,1970-01-01 01:03:14,,,,,
