x,y,spawned,detected,attained,discovery,attainment,discover_completion
2.75,-3.75,1970-01-01 01:00:03,1970-01-01 01:00:43,1970-01-01 01:01:32,40.0,49.0,89.0
1.25,-4.25,1970-01-01 01:00:13,1970-01-01 01:00:37,1970-01-01 01:01:23,24.0,46.0,70.0
0.25,3.75,1970-01-01 01:00:23,,,,,
1.25,-3.75,1970-01-01 01:00:33,1970-01-01 01:00:42,1970-01-01 01:01:08,9.0,26.0,35.0
-1.75,-3.75,1970-01-01 01:00:43,,,,,
2.75,-1.25,1970-01-01 01:00:53,,,,,
0.25,1.75,1970-01-01 01:01:03,,,,,
1.75,-2.75,1970-01-01 01:01:13,1970-01-01 01:01:22,1970-01-01 01:01:40,9.0,18.0,27.0
-0.25,-2.25,1970-01-01 01:01:23,,,,,
2.25,2.25,1970-01-01 01:01:33,,,,,
-2.25,-2.25,1970-01-01 01:01:43,1970-01-01 01:01:51,,8.0,,
-0.75,-3.75,1970-01-01 01:01:54,,,,,
-2.25,-1.75,1970-01-01 01:00:02,1970-01-01 01:00:19,,17.0,,
-2.75,-0.75,1970-01-01 01:00:12,1970-01-01 01:00:14,1970-01-01 01:00:28,2.0,14.0,16.0
0.25,2.25,1970-01-01 01:00:22,,,,,
-0.75,-3.75,1970-01-01 01:00:32,,,,,
0.25,3.25,1970-01-01 01:00:42,,,,,
-1.75,-0.25,1970-01-01 01:00:52,1970-01-01 01:00:55,1970-01-01 01:01:19,3.0,24.0,27.0
0.25,4.25,1970-01-01 01:01:02,,,,,
-0.25,-3.75,1970-01-01 01:01:12,1970-01-01 01:01:16,1970-01-01 01:01:33,4.0,17.0,21.0
1.25,-1.75,1970-01-01 01:01:22,,,,,
1.25,-2.25,1970-01-01 01:01:33,,,,,
-0.75,-2.25,1970-01-01 01:01:43,1970-01-01 01:01:49,1970-01-01 01:01:59,6.0,10.0,16.0
-2.25,-2.25,1970-01-01 01:01:53,,,,,
-1.25,-3.25,1970-01-01 01:02:03,,,,,
2.25,-1.75,1970-01-01 01:00:02,,,,,
2.25,2.75,1970-01-01 01:00:12,,,,,
-2.75,2.75,1970-01-01 01:00:22,,,,,
1.25,3.75,1970-01-01 01:00:32,1970-01-01 01:00:38,1970-01-01 01:01:52,6.0,74.0,80.0
2.75,3.75,1970-01-01 01:00:43,1970-01-01 01:00:48,1970-01-01 01:02:01,5.0,73.0,78.0
1.25,2.25,1970-01-01 01:00:53,1970-01-01 01:00:58,1970-01-01 01:01:11,5.0,13.0,18.0
-0.25,-3.25,1970-01-01 01:01:03,1970-01-01 01:01:15,1970-01-01 01:01:32,12.0,17.0,29.0
0.75,0.75,1970-01-01 01:01:13,,,,,
0.75,-2.25,1970-01-01 01:01:23,,,,,
2.25,-4.25,1970-01-01 01:01:33,,,,,
-0.25,4.25,1970-01-01 01:01:43,,,,,
0.25,-0.75,1970-01-01 01:01:53,,,,,
0.75,-3.75,1970-01-01 01:02:03,,,,,
-2.75,2.75,1970-01-01 01:00:02,1970-01-01 01:01:31,,89.0,,
-1.25,-2.75,1970-01-01 01:00:12,1970-01-01 01:00:33,1970-01-01 01:01:01,21.0,28.0,49.0
-2.25,2.75,1970-01-01 01:00:22,,,,,
-1.25,-4.25,1970-01-01 01:00:32,,,,,
-0.75,-3.25,1970-01-01 01:00:42,,,,,
-3.25,3.75,1970-01-01 01:00:52,1970-01-01 01:01:32,,40.0,,
-1.75,-0.75,1970-01-01 01:01:02,,,,,
1.25,3.25,1970-01-01 01:01:12,,,,,
-3.25,2.75,1970-01-01 01:01:23,1970-01-01 01:01:32,,9.0,,
3.75,3.75,1970-01-01 01:01:33,,,,,
-0.25,-3.25,1970-01-01 01:01:43,,,,,
0.25,-2.75,1970-01-01 01:01:53,,,,,
