x,y,spawned,detected,attained,discovery,attainment,discover_completion
1.75,-1.75,1970-01-01 01:00:03,,,,,
2.25,2.25,1970-01-01 01:00:13,,,,,
0.75,1.25,1970-01-01 01:00:23,,,,,
3.25,3.25,1970-01-01 01:00:33,1970-01-01 01:00:34,1970-01-01 01:02:46,1.0,132.0,133.0
-1.25,-2.75,1970-01-01 01:00:43,,,,,
3.25,4.25,1970-01-01 01:00:53,1970-01-01 01:00:54,1970-01-01 01:01:38,1.0,44.0,45.0
0.25,2.75,1970-01-01 01:01:03,,,,,
-1.25,-0.25,1970-01-01 01:01:13,,,,,
-2.25,-2.25,1970-01-01 01:01:23,1970-01-01 01:01:24,1970-01-01 01:01:45,1.0,21.0,22.0
-1.25,-1.25,1970-01-01 01:01:33,1970-01-01 01:01:39,,6.0,,
-2.25,-3.75,1970-01-01 01:01:43,1970-01-01 01:01:44,,1.0,,
0.25,-2.75,1970-01-01 01:01:54,1970-01-01 01:01:59,,5.0,,
-0.75,1.75,1970-01-01 01:02:04,,,,,
-1.25,3.75,1970-01-01 01:02:14,1970-01-01 01:02:29,,15.0,,
1.25,-3.25,1970-01-01 01:02:24,,,,,
1.25,-1.75,1970-01-01 01:02:54,,,,,
-3.75,3.75,1970-01-01 01:02:44,,,,,
1.25,-1.75,1970-01-01 01:02:54,,,,,
-2.75,2.75,1970-01-01 01:00:02,1970-01-01 01:00:07,1970-01-01 01:00:40,5.0,33.0,38.0
-1.25,-2.75,1970-01-01 01:00:12,1970-01-01 01:00:23,,11.0,,
-2.25,2.75,1970-01-01 01:00:22,,,,,
-1.25,-4.25,1970-01-01 01:00:32,1970-01-01 01:00:33,,1.0,,
-0.75,-3.25,1970-01-01 01:00:42,1970-01-01 01:00:43,1970-01-01 01:01:26,1.0,43.0,44.0
-3.25,3.75,1970-01-01 01:00:52,1970-01-01 01:02:13,1970-01-01 01:02:51,81.0,38.0,119.0
-1.75,-0.75,1970-01-01 01:03:34,1970-01-01 01:03:39,1970-01-01 01:01:10,5.0,-149.0,-144.0
1.25,3.25,1970-01-01 01:01:12,1970-01-01 01:01:13,1970-01-01 01:01:32,1.0,19.0,20.0
-3.25,2.75,1970-01-01 01:01:22,1970-01-01 01:01:51,1970-01-01 01:02:18,29.0,27.0,56.0
3.75,3.75,1970-01-01 01:01:32,1970-01-01 01:01:38,,6.0,,
-0.25,-3.25,1970-01-01 01:01:42,,,,,
0.25,-2.75,1970-01-01 01:01:53,1970-01-01 01:01:53,1970-01-01 01:03:50,0.0,117.0,117.0
-1.25,-3.25,1970-01-01 01:02:03,1970-01-01 01:02:37,,34.0,,
0.75,-1.75,1970-01-01 01:02:13,1970-01-01 01:02:35,1970-01-01 01:03:43,22.0,68.0,90.0
-0.25,-2.75,1970-01-01 01:02:23,1970-01-01 01:02:38,,15.0,,
1.75,1.75,1970-01-01 01:02:33,1970-01-01 01:02:45,1970-01-01 01:03:15,12.0,30.0,42.0
1.25,2.75,1970-01-01 01:02:43,1970-01-01 01:02:51,1970-01-01 01:03:07,8.0,16.0,24.0
-2.25,-1.75,1970-01-01 01:02:53,1970-01-01 01:02:54,,1.0,,
0.25,-0.75,1970-01-01 01:03:03,1970-01-01 01:03:11,1970-01-01 01:03:31,8.0,20.0,28.0
-2.75,-3.75,1970-01-01 01:03:13,1970-01-01 01:03:52,,39.0,,
1.75,-4.25,1970-01-01 01:03:44,1970-01-01 01:03:53,,9.0,,
-1.75,-0.75,1970-01-01 01:03:34,1970-01-01 01:03:39,1970-01-01 01:01:10,5.0,-149.0,-144.0
1.75,-4.25,1970-01-01 01:03:44,1970-01-01 01:03:53,,9.0,,
2.25,-1.75,1970-01-01 01:00:02,,,,,
2.25,2.75,1970-01-01 01:00:12,,,,,
-2.75,2.75,1970-01-01 01:00:22,1970-01-01 01:00:22,1970-01-01 01:00:52,0.0,30.0,30.0
1.25,3.75,1970-01-01 01:00:32,1970-01-01 01:00:37,1970-01-01 01:01:31,5.0,54.0,59.0
2.75,3.75,1970-01-01 01:00:42,1970-01-01 01:00:47,1970-01-01 01:01:41,5.0,54.0,59.0
1.25,2.25,1970-01-01 01:00:52,1970-01-01 01:00:58,1970-01-01 01:01:21,6.0,23.0,29.0
-0.25,-3.25,1970-01-01 01:02:33,1970-01-01 01:02:34,1970-01-01 01:02:41,1.0,7.0,8.0
0.75,0.75,1970-01-01 01:01:12,,,,,
0.75,-2.25,1970-01-01 01:01:22,1970-01-01 01:01:40,1970-01-01 01:01:59,18.0,19.0,37.0
2.25,-4.25,1970-01-01 01:01:32,1970-01-01 01:02:05,1970-01-01 01:02:25,33.0,20.0,53.0
-0.25,4.25,1970-01-01 01:01:43,,,,,
0.25,-0.75,1970-01-01 01:01:53,1970-01-01 01:01:58,1970-01-01 01:02:48,5.0,50.0,55.0
0.75,-3.75,1970-01-01 01:02:03,1970-01-01 01:02:03,1970-01-01 01:02:17,0.0,14.0,14.0
2.25,0.75,1970-01-01 01:02:13,,,,,
0.75,1.25,1970-01-01 01:02:23,,,,,
-0.25,-3.25,1970-01-01 01:02:33,1970-01-01 01:02:34,1970-01-01 01:02:41,1.0,7.0,8.0
-1.25,4.25,1970-01-01 01:02:43,1970-01-01 01:03:22,,39.0,,
-2.25,-2.25,1970-01-01 01:02:53,1970-01-01 01:02:59,,6.0,,
1.25,-0.25,1970-01-01 01:03:03,,,,,
-3.25,2.25,1970-01-01 01:03:14,1970-01-01 01:03:19,,5.0,,
0.75,-3.25,1970-01-01 01:03:24,,,,,
-2.25,-1.75,1970-01-01 01:00:03,1970-01-01 01:00:19,1970-01-01 01:01:47,16.0,88.0,104.0
-2.75,-0.75,1970-01-01 01:00:13,1970-01-01 01:00:14,1970-01-01 01:01:40,1.0,86.0,87.0
0.25,1.75,1970-01-01 01:00:23,,,,,
-1.25,4.25,1970-01-01 01:00:33,1970-01-01 01:00:41,1970-01-01 01:00:58,8.0,17.0,25.0
0.25,3.25,1970-01-01 01:00:43,,,,,
-1.75,-0.25,1970-01-01 01:00:53,,,,,
0.25,4.25,1970-01-01 01:01:03,1970-01-01 01:01:09,1970-01-01 01:01:42,6.0,33.0,39.0
-0.75,4.25,1970-01-01 01:01:13,1970-01-01 01:01:19,1970-01-01 01:01:34,6.0,15.0,21.0
1.25,-1.75,1970-01-01 01:01:23,,,,,
1.25,-2.25,1970-01-01 01:01:33,,,,,
-0.75,-3.25,1970-01-01 01:01:44,1970-01-01 01:01:49,1970-01-01 01:02:52,5.0,63.0,68.0
-2.25,-2.25,1970-01-01 01:01:54,1970-01-01 01:01:59,1970-01-01 01:02:21,5.0,22.0,27.0
-1.25,-3.75,1970-01-01 01:02:04,,,,,
2.25,3.75,1970-01-01 01:02:14,,,,,
-2.75,2.25,1970-01-01 01:02:24,1970-01-01 01:02:51,,27.0,,
-1.25,-3.25,1970-01-01 01:02:44,1970-01-01 01:02:35,1970-01-01 01:02:41,-9.0,6.0,-3.0
-1.25,-3.25,1970-01-01 01:02:44,1970-01-01 01:02:35,1970-01-01 01:02:41,-9.0,6.0,-3.0
4.25,-0.75,1970-01-01 01:02:54,,,,,
-0.75,-1.25,1970-01-01 01:03:04,,,,,
-2.75,1.75,1970-01-01 01:03:15,1970-01-01 01:03:20,,5.0,,
2.25,-3.25,1970-01-01 01:03:25,,,,,
2.75,-3.75,1970-01-01 01:00:03,1970-01-01 01:00:40,1970-01-01 01:01:07,37.0,27.0,64.0
1.25,-4.25,1970-01-01 01:00:13,1970-01-01 01:00:35,1970-01-01 01:00:52,22.0,17.0,39.0
0.25,3.75,1970-01-01 01:00:23,1970-01-01 01:02:40,1970-01-01 01:03:43,137.0,63.0,200.0
1.25,-3.75,1970-01-01 01:00:33,1970-01-01 01:00:34,1970-01-01 01:00:57,1.0,23.0,24.0
-1.75,-3.75,1970-01-01 01:00:43,1970-01-01 01:00:48,1970-01-01 01:01:03,5.0,15.0,20.0
2.75,-1.25,1970-01-01 01:00:53,1970-01-01 01:02:49,1970-01-01 01:03:11,116.0,22.0,138.0
0.25,1.75,1970-01-01 01:01:03,1970-01-01 01:01:36,1970-01-01 01:02:36,33.0,60.0,93.0
1.75,-2.75,1970-01-01 01:01:13,1970-01-01 01:01:19,1970-01-01 01:02:25,6.0,66.0,72.0
-0.25,-2.25,1970-01-01 01:01:23,1970-01-01 01:01:29,1970-01-01 01:01:40,6.0,11.0,17.0
