x,y,spawned,detected,attained,discovery,attainment,discover_completion
-2.25,-1.75,1970-01-01 01:00:03,1970-01-01 01:00:19,1970-01-01 01:01:47,16.0,88.0,104.0
-2.75,-0.75,1970-01-01 01:00:13,1970-01-01 01:00:14,1970-01-01 01:01:40,1.0,86.0,87.0
0.25,1.75,1970-01-01 01:00:23,,,,,
-1.25,4.25,1970-01-01 01:00:33,1970-01-01 01:00:41,1970-01-01 01:00:58,8.0,17.0,25.0
0.25,3.25,1970-01-01 01:00:43,,,,,
-1.75,-0.25,1970-01-01 01:00:53,,,,,
0.25,4.25,1970-01-01 01:01:03,1970-01-01 01:01:09,1970-01-01 01:01:42,6.0,33.0,39.0
-0.75,4.25,1970-01-01 01:01:13,1970-01-01 01:01:19,1970-01-01 01:01:34,6.0,15.0,21.0
1.25,-1.75,1970-01-01 01:01:23,,,,,
1.25,-2.25,1970-01-01 01:01:33,,,,,
-0.75,-3.25,1970-01-01 01:01:44,1970-01-01 01:01:49,1970-01-01 01:02:52,5.0,63.0,68.0
-2.25,-2.25,1970-01-01 01:01:54,1970-01-01 01:01:59,1970-01-01 01:02:21,5.0,22.0,27.0
-1.25,-3.75,1970-01-01 01:02:04,,,,,
2.25,3.75,1970-01-01 01:02:14,,,,,
-2.75,2.25,1970-01-01 01:02:24,1970-01-01 01:02:51,,27.0,,
-1.25,-3.25,1970-01-01 01:02:44,1970-01-01 01:02:35,1970-01-01 01:02:41,-9.0,6.0,-3.0
-1.25,-3.25,1970-01-01 01:02:44,1970-01-01 01:02:35,1970-01-01 01:02:41,-9.0,6.0,-3.0
4.25,-0.75,1970-01-01 01:02:54,,,,,
-0.75,-1.25,1970-01-01 01:03:04,,,,,
-2.75,1.75,1970-01-01 01:03:15,1970-01-01 01:03:20,,5.0,,
2.25,-3.25,1970-01-01 01:03:25,,,,,
