x,y,spawned,detected,attained,discovery,attainment,discover_completion
2.25,-1.75,1970-01-01 01:00:02,,,,,
2.25,2.75,1970-01-01 01:00:12,1970-01-01 01:00:18,1970-01-01 01:00:45,6.0,27.0,33.0
-2.75,2.75,1970-01-01 01:00:22,1970-01-01 01:00:36,1970-01-01 01:01:06,14.0,30.0,44.0
1.25,3.75,1970-01-01 01:00:32,1970-01-01 01:00:38,1970-01-01 01:01:49,6.0,71.0,77.0
2.75,3.75,1970-01-01 01:00:42,1970-01-01 01:00:43,1970-01-01 01:00:57,1.0,14.0,15.0
1.25,2.25,1970-01-01 01:00:53,1970-01-01 01:00:58,1970-01-01 01:01:59,5.0,61.0,66.0
-0.25,-3.25,1970-01-01 01:01:03,1970-01-01 01:02:12,1970-01-01 01:02:38,69.0,26.0,95.0
0.75,0.75,1970-01-01 01:01:13,1970-01-01 01:01:18,1970-01-01 01:02:08,5.0,50.0,55.0
0.75,-2.25,1970-01-01 01:01:23,1970-01-01 01:02:05,1970-01-01 01:02:28,42.0,23.0,65.0
2.25,-4.25,1970-01-01 01:01:33,1970-01-01 01:02:35,1970-01-01 01:02:55,62.0,20.0,82.0
-0.25,4.25,1970-01-01 01:01:43,1970-01-01 01:01:49,,6.0,,
0.25,-0.75,1970-01-01 01:01:53,1970-01-01 01:01:58,1970-01-01 01:02:17,5.0,19.0,24.0
0.75,-3.75,1970-01-01 01:02:03,1970-01-01 01:02:14,1970-01-01 01:02:46,11.0,32.0,43.0
2.25,0.75,1970-01-01 01:02:14,1970-01-01 01:02:19,,5.0,,
0.75,1.25,1970-01-01 01:02:24,,,,,
-0.25,-3.75,1970-01-01 01:02:34,1970-01-01 01:02:39,1970-01-01 01:03:06,5.0,27.0,32.0
-2.75,-4.25,1970-01-01 01:02:44,1970-01-01 01:03:16,,32.0,,
0.25,4.25,1970-01-01 01:02:54,,,,,
3.25,2.75,1970-01-01 01:03:04,,,,,
3.75,-3.25,1970-01-01 01:03:14,,,,,
0.75,-3.25,1970-01-01 01:03:24,,,,,
-2.25,-1.75,1970-01-01 01:00:02,1970-01-01 01:00:17,1970-01-01 01:00:36,15.0,19.0,34.0
-2.75,-0.75,1970-01-01 01:00:12,1970-01-01 01:00:12,1970-01-01 01:00:29,0.0,17.0,17.0
0.25,2.25,1970-01-01 01:00:22,1970-01-01 01:00:23,1970-01-01 01:00:35,1.0,12.0,13.0
-0.75,-3.75,1970-01-01 01:00:32,1970-01-01 01:00:33,1970-01-01 01:00:49,1.0,16.0,17.0
0.25,3.25,1970-01-01 01:00:42,,,,,
-1.75,-0.25,1970-01-01 01:00:52,1970-01-01 01:00:53,1970-01-01 01:01:10,1.0,17.0,18.0
0.25,4.25,1970-01-01 01:01:02,1970-01-01 01:01:03,1970-01-01 01:01:18,1.0,15.0,16.0
-0.25,-3.75,1970-01-01 01:01:13,1970-01-01 01:01:14,1970-01-01 01:01:31,1.0,17.0,18.0
1.25,-1.75,1970-01-01 01:01:23,,,,,
1.25,-2.25,1970-01-01 01:01:33,,,,,
-0.75,-2.25,1970-01-01 01:01:43,1970-01-01 01:01:49,,6.0,,
-2.25,-2.25,1970-01-01 01:01:53,1970-01-01 01:01:59,1970-01-01 01:02:23,6.0,24.0,30.0
-1.25,-3.25,1970-01-01 01:02:03,1970-01-01 01:02:06,,3.0,,
2.25,4.25,1970-01-01 01:02:13,,,,,
-2.75,2.75,1970-01-01 01:02:23,1970-01-01 01:02:29,1970-01-01 01:03:15,6.0,46.0,52.0
-1.25,-2.75,1970-01-01 01:02:33,1970-01-01 01:02:40,1970-01-01 01:02:56,7.0,16.0,23.0
-1.25,-2.25,1970-01-01 01:02:43,1970-01-01 01:02:44,1970-01-01 01:02:51,1.0,7.0,8.0
4.25,-0.25,1970-01-01 01:02:54,,,,,
-0.75,-0.25,1970-01-01 01:03:04,1970-01-01 01:03:09,,5.0,,
-2.75,2.25,1970-01-01 01:03:14,,,,,
1.75,-1.25,1970-01-01 01:00:02,1970-01-01 01:00:08,1970-01-01 01:00:30,6.0,22.0,28.0
2.25,2.25,1970-01-01 01:00:12,1970-01-01 01:00:18,1970-01-01 01:00:54,6.0,36.0,42.0
2.25,2.75,1970-01-01 01:00:22,1970-01-01 01:00:28,1970-01-01 01:00:49,6.0,21.0,27.0
-1.25,-3.25,1970-01-01 01:00:32,1970-01-01 01:01:28,1970-01-01 01:01:45,56.0,17.0,73.0
3.75,-0.25,1970-01-01 01:00:43,,,,,
-4.25,-0.25,1970-01-01 01:00:53,1970-01-01 01:01:12,,19.0,,
3.25,-3.25,1970-01-01 01:01:03,1970-01-01 01:03:42,,159.0,,
3.25,3.75,1970-01-01 01:01:13,1970-01-01 01:01:19,1970-01-01 01:02:57,6.0,98.0,104.0
0.25,2.75,1970-01-01 01:01:23,,,,,
-1.25,0.25,1970-01-01 01:01:33,1970-01-01 01:01:39,1970-01-01 01:02:29,6.0,50.0,56.0
-2.25,-2.25,1970-01-01 01:01:43,1970-01-01 01:01:49,1970-01-01 01:02:10,6.0,21.0,27.0
-1.25,-0.25,1970-01-01 01:01:53,1970-01-01 01:01:54,1970-01-01 01:02:23,1.0,29.0,30.0
-2.25,-3.25,1970-01-01 01:02:03,1970-01-01 01:02:04,,1.0,,
0.25,-2.25,1970-01-01 01:02:14,,,,,
-0.75,3.25,1970-01-01 01:02:24,1970-01-01 01:02:24,1970-01-01 01:02:57,0.0,33.0,33.0
-0.75,-4.25,1970-01-01 01:02:34,1970-01-01 01:03:19,1970-01-01 01:03:36,45.0,17.0,62.0
1.25,-3.25,1970-01-01 01:02:44,1970-01-01 01:03:24,,40.0,,
1.25,-1.75,1970-01-01 01:03:14,,,,,
-3.75,3.25,1970-01-01 01:03:04,1970-01-01 01:03:12,,8.0,,
1.25,-1.75,1970-01-01 01:03:14,,,,,
-0.25,0.75,1970-01-01 01:03:24,1970-01-01 01:03:25,1970-01-01 01:03:39,1.0,14.0,15.0
-1.25,4.25,1970-01-01 01:03:34,1970-01-01 01:03:35,,1.0,,
0.75,3.25,1970-01-01 01:03:44,1970-01-01 01:03:50,,6.0,,
0.25,3.25,1970-01-01 01:03:54,,,,,
-2.75,2.75,1970-01-01 01:00:02,1970-01-01 01:00:08,,6.0,,
-1.25,-2.75,1970-01-01 01:00:12,1970-01-01 01:00:24,1970-01-01 01:00:39,12.0,15.0,27.0
-2.25,2.75,1970-01-01 01:00:22,1970-01-01 01:00:59,,37.0,,
-1.25,-4.25,1970-01-01 01:00:32,1970-01-01 01:00:38,1970-01-01 01:01:15,6.0,37.0,43.0
-0.75,-3.25,1970-01-01 01:00:42,1970-01-01 01:00:48,1970-01-01 01:01:24,6.0,36.0,42.0
-3.25,3.75,1970-01-01 01:00:52,1970-01-01 01:00:58,1970-01-01 01:01:55,6.0,57.0,63.0
-1.75,-0.75,1970-01-01 01:01:02,1970-01-01 01:01:08,1970-01-01 01:01:29,6.0,21.0,27.0
1.25,3.25,1970-01-01 01:01:13,1970-01-01 01:01:48,1970-01-01 01:02:33,35.0,45.0,80.0
-3.25,2.75,1970-01-01 01:01:23,1970-01-01 01:01:23,1970-01-01 01:02:02,0.0,39.0,39.0
3.75,3.75,1970-01-01 01:01:33,1970-01-01 01:02:00,1970-01-01 01:02:17,27.0,17.0,44.0
-0.25,-3.25,1970-01-01 01:01:43,1970-01-01 01:02:19,,36.0,,
0.25,-2.75,1970-01-01 01:01:53,1970-01-01 01:02:19,,26.0,,
-1.25,-3.25,1970-01-01 01:02:03,1970-01-01 01:02:17,,14.0,,
0.75,-1.75,1970-01-01 01:02:13,1970-01-01 01:02:18,,5.0,,
-0.25,-2.75,1970-01-01 01:02:23,1970-01-01 01:02:29,,6.0,,
1.75,1.75,1970-01-01 01:02:33,1970-01-01 01:02:39,,6.0,,
1.25,2.75,1970-01-01 01:02:43,1970-01-01 01:02:49,,6.0,,
-2.25,-1.75,1970-01-01 01:02:53,1970-01-01 01:02:57,,4.0,,
2.75,-3.25,1970-01-01 01:00:02,1970-01-01 01:00:44,1970-01-01 01:01:24,42.0,40.0,82.0
1.25,-4.25,1970-01-01 01:00:12,1970-01-01 01:00:35,1970-01-01 01:01:10,23.0,35.0,58.0
0.25,4.25,1970-01-01 01:00:22,1970-01-01 01:02:36,,134.0,,
