x,y,spawned,detected,attained,discovery,attainment,discover_completion
2.25,-1.75,1970-01-01 01:00:02,,,,,
2.25,2.75,1970-01-01 01:00:12,1970-01-01 01:00:18,1970-01-01 01:00:45,6.0,27.0,33.0
-2.75,2.75,1970-01-01 01:00:22,1970-01-01 01:00:36,1970-01-01 01:01:06,14.0,30.0,44.0
1.25,3.75,1970-01-01 01:00:32,1970-01-01 01:00:38,1970-01-01 01:01:49,6.0,71.0,77.0
2.75,3.75,1970-01-01 01:00:42,1970-01-01 01:00:43,1970-01-01 01:00:57,1.0,14.0,15.0
1.25,2.25,1970-01-01 01:00:53,1970-01-01 01:00:58,1970-01-01 01:01:59,5.0,61.0,66.0
-0.25,-3.25,1970-01-01 01:01:03,1970-01-01 01:02:12,1970-01-01 01:02:38,69.0,26.0,95.0
0.75,0.75,1970-01-01 01:01:13,1970-01-01 01:01:18,1970-01-01 01:02:08,5.0,50.0,55.0
0.75,-2.25,1970-01-01 01:01:23,1970-01-01 01:02:05,1970-01-01 01:02:28,42.0,23.0,65.0
2.25,-4.25,1970-01-01 01:01:33,1970-01-01 01:02:35,1970-01-01 01:02:55,62.0,20.0,82.0
-0.25,4.25,1970-01-01 01:01:43,1970-01-01 01:01:49,,6.0,,
0.25,-0.75,1970-01-01 01:01:53,1970-01-01 01:01:58,1970-01-01 01:02:17,5.0,19.0,24.0
0.75,-3.75,1970-01-01 01:02:03,1970-01-01 01:02:14,1970-01-01 01:02:46,11.0,32.0,43.0
2.25,0.75,1970-01-01 01:02:14,1970-01-01 01:02:19,,5.0,,
0.75,1.25,1970-01-01 01:02:24,,,,,
-0.25,-3.75,1970-01-01 01:02:34,1970-01-01 01:02:39,1970-01-01 01:03:06,5.0,27.0,32.0
-2.75,-4.25,1970-01-01 01:02:44,1970-01-01 01:03:16,,32.0,,
0.25,4.25,1970-01-01 01:02:54,,,,,
3.25,2.75,1970-01-01 01:03:04,,,,,
3.75,-3.25,1970-01-01 01:03:14,,,,,
0.75,-3.25,1970-01-01 01:03:24,,,,,
