x,y,spawned,detected,attained,discovery,attainment,discover_completion
2.75,-3.25,1970-01-01 01:00:02,1970-01-01 01:00:49,1970-01-01 01:01:18,47.0,29.0,76.0
1.25,-4.25,1970-01-01 01:00:12,1970-01-01 01:00:37,1970-01-01 01:00:52,25.0,15.0,40.0
0.25,4.25,1970-01-01 01:00:22,,,,,
1.25,-3.75,1970-01-01 01:00:32,1970-01-01 01:00:41,1970-01-01 01:01:09,9.0,28.0,37.0
-1.75,-3.25,1970-01-01 01:00:42,,,,,
2.75,-1.25,1970-01-01 01:00:52,,,,,
0.25,2.25,1970-01-01 01:01:02,1970-01-01 01:01:15,1970-01-01 01:01:31,13.0,16.0,29.0
1.75,-2.75,1970-01-01 01:01:12,,,,,
-0.25,-1.25,1970-01-01 01:01:22,1970-01-01 01:01:28,,6.0,,
2.25,2.75,1970-01-01 01:01:32,1970-01-01 01:01:38,,6.0,,
-2.25,-2.25,1970-01-01 01:01:42,,,,,
