x,y,spawned,detected,attained,discovery,attainment,discover_completion
1.75,-1.25,1970-01-01 01:00:02,,,,,
2.25,2.25,1970-01-01 01:00:12,1970-01-01 01:00:12,,0.0,,
2.25,2.75,1970-01-01 01:00:22,1970-01-01 01:00:22,,0.0,,
2.75,-3.25,1970-01-01 01:00:02,1970-01-01 01:00:02,1970-01-01 01:00:36,0.0,34.0,34.0
1.25,-4.25,1970-01-01 01:00:12,1970-01-01 01:00:25,,13.0,,
0.25,4.25,1970-01-01 01:00:22,,,,,
1.25,-3.75,1970-01-01 01:00:32,,,,,
-2.25,-1.75,1970-01-01 01:00:01,,,,,
-2.75,-0.75,1970-01-01 01:00:11,1970-01-01 01:00:11,1970-01-01 01:00:20,0.0,9.0,9.0
0.25,2.25,1970-01-01 01:00:21,1970-01-01 01:00:21,,0.0,,
-2.75,2.75,1970-01-01 01:00:02,1970-01-01 01:00:09,1970-01-01 01:00:32,7.0,23.0,30.0
-1.25,-2.75,1970-01-01 01:00:12,1970-01-01 01:00:12,1970-01-01 01:00:31,0.0,19.0,19.0
-2.25,2.75,1970-01-01 01:00:22,,,,,
-1.25,-4.25,1970-01-01 01:00:32,,,,,
2.25,-1.75,1970-01-01 01:00:02,,,,,
2.25,2.75,1970-01-01 01:00:12,1970-01-01 01:00:14,,2.0,,
-2.75,2.75,1970-01-01 01:00:22,,,,,
