x,y,spawned,detected,attained,discovery,attainment,discover_completion
-2.75,2.75,1970-01-01 01:00:02,1970-01-01 01:00:07,1970-01-01 01:00:39,5.0,32.0,37.0
-1.25,-2.75,1970-01-01 01:00:12,1970-01-01 01:00:22,,10.0,,
-2.25,2.75,1970-01-01 01:00:22,1970-01-01 01:00:36,,14.0,,
-1.25,-4.25,1970-01-01 01:00:32,1970-01-01 01:00:32,1970-01-01 01:00:46,0.0,14.0,14.0
-0.75,-3.25,1970-01-01 01:00:42,1970-01-01 01:00:42,1970-01-01 01:01:20,0.0,38.0,38.0
-3.25,3.75,1970-01-01 01:00:52,,,,,
-1.75,-0.75,1970-01-01 01:01:02,,,,,
1.25,3.25,1970-01-01 01:01:12,1970-01-01 01:01:13,1970-01-01 01:01:31,1.0,18.0,19.0
-3.25,2.75,1970-01-01 01:01:22,,,,,
3.75,3.75,1970-01-01 01:01:32,1970-01-01 01:01:33,1970-01-01 01:01:48,1.0,15.0,16.0
-0.25,-3.25,1970-01-01 01:01:42,,,,,
0.25,-2.75,1970-01-01 01:01:52,,,,,
