x,y,spawned,detected,attained,discovery,attainment,discover_completion
2.75,-3.25,1970-01-01 01:00:02,1970-01-01 01:00:49,1970-01-01 01:01:23,47,34,81
1.25,-4.25,1970-01-01 01:00:12,1970-01-01 01:00:35,1970-01-01 01:01:21,23,46,69
0.25,4.25,1970-01-01 01:00:22,,,,,
1.25,-3.75,1970-01-01 01:00:32,1970-01-01 01:00:33,1970-01-01 01:01:26,1,53,54
-1.75,-3.25,1970-01-01 01:00:42,,,,,
2.75,-1.25,1970-01-01 01:00:52,,,,,
0.25,2.25,1970-01-01 01:01:02,1970-01-01 01:02:23,1970-01-01 01:02:46,81,23,104
1.75,-2.75,1970-01-01 01:01:12,,,,,
-0.25,-1.25,1970-01-01 01:01:22,1970-01-01 01:01:23,1970-01-01 01:02:17,1,54,55
2.25,2.75,1970-01-01 01:01:33,,,,,
-2.25,-2.25,1970-01-01 01:01:43,1970-01-01 01:01:48,1970-01-01 01:02:04,5,16,21
-0.75,-2.75,1970-01-01 01:01:53,,,,,
-0.75,1.25,1970-01-01 01:02:03,1970-01-01 01:02:07,1970-01-01 01:02:38,4,31,35
1.75,-1.75,1970-01-01 01:02:13,,,,,
1.75,0.75,1970-01-01 01:02:23,1970-01-01 01:02:24,1970-01-01 01:02:59,1,35,36
-2.25,2.25,1970-01-01 01:06:25,,,,,
-2.75,-4.25,1970-01-01 01:02:43,,,,,
-3.25,-0.25,1970-01-01 01:02:53,1970-01-01 01:03:15,1970-01-01 01:03:28,22,13,35
1.25,2.75,1970-01-01 01:03:03,,,,,
-2.75,-2.25,1970-01-01 01:03:14,,,,,
0.75,2.75,1970-01-01 01:03:24,1970-01-01 01:04:48,1970-01-01 01:05:09,84,21,105
-2.75,-1.25,1970-01-01 01:03:34,1970-01-01 01:03:39,1970-01-01 01:03:51,5,12,17
0.25,-3.25,1970-01-01 01:03:44,,,,,
-2.25,2.25,1970-01-01 01:06:25,,,,,
-2.25,-4.25,1970-01-01 01:08:26,,,,,
3.75,-4.25,1970-01-01 01:04:14,,,,,
1.75,-4.25,1970-01-01 01:04:24,,,,,
0.75,1.25,1970-01-01 01:04:34,1970-01-01 01:04:40,1970-01-01 01:05:00,6,20,26
0.75,-0.25,1970-01-01 01:04:44,,,,,
0.25,0.75,1970-01-01 01:04:54,1970-01-01 01:05:10,1970-01-01 01:05:25,16,15,31
2.25,3.75,1970-01-01 01:05:04,1970-01-01 01:05:43,1970-01-01 01:05:57,39,14,53
-0.75,1.75,1970-01-01 01:05:14,,,,,
0.25,3.75,1970-01-01 01:05:25,1970-01-01 01:05:25,1970-01-01 01:05:46,0,21,21
2.75,-4.25,1970-01-01 01:05:35,,,,,
