x,y,spawned,detected,attained,discovery,attainment,discover_completion
2.25,-1.75,1970-01-01 01:00:02,,,,,
2.25,2.75,1970-01-01 01:00:12,,,,,
-2.75,2.75,1970-01-01 01:00:22,,,,,
1.25,3.75,1970-01-01 01:00:32,1970-01-01 01:00:38,1970-01-01 01:01:19,6.0,41.0,47.0
2.75,3.75,1970-01-01 01:00:43,1970-01-01 01:00:48,1970-01-01 01:01:29,5.0,41.0,46.0
1.25,2.25,1970-01-01 01:05:45,,,,,
0.75,-2.25,1970-01-01 01:01:23,,,,,
-0.25,4.25,1970-01-01 01:01:43,,,,,
0.25,-0.75,1970-01-01 01:01:53,,,,,
0.75,-3.75,1970-01-01 01:02:03,1970-01-01 01:02:53,1970-01-01 01:03:09,50.0,16.0,66.0
2.25,0.75,1970-01-01 01:02:13,1970-01-01 01:02:25,1970-01-01 01:03:08,12.0,43.0,55.0
0.75,1.25,1970-01-01 01:02:23,1970-01-01 01:02:29,1970-01-01 01:03:17,6.0,48.0,54.0
-1.25,4.25,1970-01-01 01:02:44,1970-01-01 01:04:41,1970-01-01 01:04:47,117.0,6.0,123.0
-2.25,-2.25,1970-01-01 01:02:54,,,,,
1.25,-0.25,1970-01-01 01:03:04,1970-01-01 01:03:15,1970-01-01 01:04:56,11.0,101.0,112.0
-3.25,2.25,1970-01-01 01:03:14,1970-01-01 01:03:43,1970-01-01 01:04:27,29.0,44.0,73.0
0.75,-3.25,1970-01-01 01:03:24,,,,,
-2.75,-2.25,1970-01-01 01:03:34,,,,,
-0.75,3.75,1970-01-01 01:03:44,1970-01-01 01:04:03,1970-01-01 01:04:40,19.0,37.0,56.0
2.75,-3.75,1970-01-01 01:03:54,1970-01-01 01:05:21,1970-01-01 01:06:37,87.0,76.0,163.0
-3.75,-2.25,1970-01-01 01:04:04,1970-01-01 01:04:05,1970-01-01 01:06:01,1.0,116.0,117.0
3.75,-3.75,1970-01-01 01:04:14,1970-01-01 01:05:20,1970-01-01 01:05:34,66.0,14.0,80.0
2.75,3.25,1970-01-01 01:04:25,1970-01-01 01:04:51,1970-01-01 01:05:12,26.0,21.0,47.0
-1.75,-3.25,1970-01-01 01:05:15,1970-01-01 01:05:42,1970-01-01 01:06:00,27.0,18.0,45.0
1.25,2.75,1970-01-01 01:04:45,1970-01-01 01:04:50,1970-01-01 01:05:23,5.0,33.0,38.0
-1.75,-0.25,1970-01-01 01:04:55,,,,,
0.75,0.25,1970-01-01 01:05:05,,,,,
-1.75,-3.25,1970-01-01 01:05:15,1970-01-01 01:05:42,1970-01-01 01:06:00,27.0,18.0,45.0
-2.25,4.25,1970-01-01 01:05:25,,,,,
-2.75,-0.75,1970-01-01 01:05:35,,,,,
1.25,2.25,1970-01-01 01:05:45,,,,,
2.75,-3.25,1970-01-01 01:06:05,,,,,
-3.25,-1.75,1970-01-01 01:06:35,,,,,
-0.25,-2.25,1970-01-01 01:06:25,,,,,
-3.25,-1.75,1970-01-01 01:06:35,,,,,
-0.75,-0.25,1970-01-01 01:06:46,,,,,
1.25,0.75,1970-01-01 01:06:56,,,,,
1.75,0.25,1970-01-01 01:07:06,,,,,
2.75,0.75,1970-01-01 01:07:16,1970-01-01 01:07:57,1970-01-01 01:08:29,41.0,32.0,73.0
0.25,1.75,1970-01-01 01:07:26,,,,,
0.75,2.75,1970-01-01 01:07:36,,,,,
-2.25,-4.25,1970-01-01 01:07:46,,,,,
-1.75,-4.25,1970-01-01 01:07:56,,,,,
2.25,3.75,1970-01-01 01:08:16,1970-01-01 01:09:49,,93.0,,
2.25,3.75,1970-01-01 01:08:16,1970-01-01 01:09:49,,93.0,,
-0.25,-0.75,1970-01-01 01:08:26,,,,,
-0.75,4.25,1970-01-01 01:08:36,,,,,
-0.25,1.25,1970-01-01 01:08:47,,,,,
1.25,-3.75,1970-01-01 01:08:57,,,,,
-1.25,-1.75,1970-01-01 01:09:07,,,,,
-0.75,1.25,1970-01-01 01:09:17,,,,,
-2.25,-1.25,1970-01-01 01:09:37,,,,,
0.25,-1.75,1970-01-01 01:09:47,,,,,
0.25,-3.25,1970-01-01 01:10:07,,,,,
1.75,-4.25,1970-01-01 01:10:17,,,,,
