x,y,spawned,detected,attained,discovery,attainment,total_time
2.25,-1.75,1970-01-01 01:00:02,,,,,
2.25,2.75,1970-01-01 01:00:12,,,,,
-2.75,2.75,1970-01-01 01:00:22,,,,,
1.25,3.75,1970-01-01 01:00:32,1970-01-01 01:00:38,1970-01-01 01:01:17,6,39,45
2.75,3.75,1970-01-01 01:00:43,1970-01-01 01:00:48,1970-01-01 01:01:28,5,40,45
1.25,2.25,1970-01-01 01:05:46,1970-01-01 01:05:51,1970-01-01 01:06:44,5,53,58
-0.25,-3.25,1970-01-01 01:05:56,1970-01-01 01:07:12,1970-01-01 01:08:33,76,81,157
0.75,0.75,1970-01-01 01:09:57,1970-01-01 01:10:31,1970-01-01 01:10:51,34,20,54
0.75,-2.25,1970-01-01 01:01:23,1970-01-01 01:02:31,1970-01-01 01:03:18,68,47,115
-0.25,4.25,1970-01-01 01:01:43,1970-01-01 01:05:41,1970-01-01 01:05:58,238,17,255
0.25,-0.75,1970-01-01 01:01:53,,,,,
0.75,-3.75,1970-01-01 01:02:03,1970-01-01 01:02:22,1970-01-01 01:02:55,19,33,52
2.25,0.75,1970-01-01 01:02:14,1970-01-01 01:02:55,1970-01-01 01:03:30,41,35,76
0.75,1.25,1970-01-01 01:02:24,1970-01-01 01:02:34,1970-01-01 01:02:54,10,20,30
-0.25,-3.75,1970-01-01 01:02:34,1970-01-01 01:02:35,1970-01-01 01:03:57,1,82,83
-2.75,-4.25,1970-01-01 01:02:44,,,,,
0.25,4.25,1970-01-01 01:02:54,1970-01-01 01:06:04,1970-01-01 01:06:31,190,27,217
3.25,2.75,1970-01-01 01:03:04,1970-01-01 01:05:52,1970-01-01 01:06:03,168,11,179
3.75,-3.25,1970-01-01 01:03:14,1970-01-01 01:04:27,1970-01-01 01:04:42,73,15,88
0.75,-3.25,1970-01-01 01:03:24,,,,,
-2.75,-2.25,1970-01-01 01:03:35,1970-01-01 01:07:10,1970-01-01 01:08:18,215,68,283
-0.75,3.75,1970-01-01 01:03:45,,,,,
2.75,-3.75,1970-01-01 01:03:55,1970-01-01 01:04:01,1970-01-01 01:04:55,6,54,60
-3.75,-2.25,1970-01-01 01:04:05,1970-01-01 01:04:11,1970-01-01 01:04:33,6,22,28
3.75,-3.75,1970-01-01 01:04:15,1970-01-01 01:04:26,1970-01-01 01:04:48,11,22,33
2.75,3.25,1970-01-01 01:04:25,1970-01-01 01:05:47,1970-01-01 01:06:09,82,22,104
-1.75,-3.25,1970-01-01 01:05:15,1970-01-01 01:07:26,1970-01-01 01:07:49,131,23,154
1.25,2.75,1970-01-01 01:04:45,1970-01-01 01:05:26,1970-01-01 01:06:19,41,53,94
-1.75,-0.25,1970-01-01 01:04:55,1970-01-01 01:05:09,1970-01-01 01:05:32,14,23,37
0.75,0.25,1970-01-01 01:05:05,,,,,
-1.75,-3.25,1970-01-01 01:05:15,1970-01-01 01:07:26,1970-01-01 01:07:49,131,23,154
-2.25,4.25,1970-01-01 01:05:25,,,,,
-2.75,-0.75,1970-01-01 01:05:36,1970-01-01 01:06:54,1970-01-01 01:07:11,78,17,95
1.25,2.25,1970-01-01 01:05:46,1970-01-01 01:05:51,1970-01-01 01:06:44,5,53,58
-0.25,-3.25,1970-01-01 01:05:56,1970-01-01 01:07:12,1970-01-01 01:08:33,76,81,157
2.75,-3.25,1970-01-01 01:06:06,,,,,
-3.25,-1.75,1970-01-01 01:06:36,,,,,
-0.25,-2.25,1970-01-01 01:06:26,1970-01-01 01:07:13,1970-01-01 01:07:24,47,11,58
-3.25,-1.75,1970-01-01 01:06:36,,,,,
-0.75,-0.25,1970-01-01 01:06:46,1970-01-01 01:07:00,1970-01-01 01:08:04,14,64,78
1.25,0.75,1970-01-01 01:06:56,,,,,
1.75,0.25,1970-01-01 01:07:06,1970-01-01 01:07:12,1970-01-01 01:09:03,6,111,117
2.75,0.75,1970-01-01 01:07:16,1970-01-01 01:07:42,1970-01-01 01:08:56,26,74,100
0.25,1.75,1970-01-01 01:07:26,1970-01-01 01:07:32,1970-01-01 01:07:51,6,19,25
0.75,2.75,1970-01-01 01:07:36,1970-01-01 01:07:48,1970-01-01 01:08:25,12,37,49
-2.25,-4.25,1970-01-01 01:07:46,,,,,
-1.75,-4.25,1970-01-01 01:07:56,,,,,
2.25,3.75,1970-01-01 01:08:07,1970-01-01 01:08:16,1970-01-01 01:08:36,9,20,29
1.25,-4.25,1970-01-01 01:08:17,,,,,
-1.75,-2.75,1970-01-01 01:08:27,,,,,
-0.75,4.25,1970-01-01 01:08:37,,,,,
-0.25,1.25,1970-01-01 01:08:47,1970-01-01 01:08:54,1970-01-01 01:09:23,7,29,36
1.25,-3.75,1970-01-01 01:08:57,,,,,
-1.25,-1.75,1970-01-01 01:09:07,1970-01-01 01:09:32,1970-01-01 01:09:58,25,26,51
-0.75,1.25,1970-01-01 01:09:17,,,,,
-2.25,-1.25,1970-01-01 01:09:37,,,,,
0.25,-1.75,1970-01-01 01:09:47,,,,,
0.75,0.75,1970-01-01 01:09:57,1970-01-01 01:10:31,1970-01-01 01:10:51,34,20,54
0.25,-3.25,1970-01-01 01:10:07,,,,,
1.75,-4.25,1970-01-01 01:10:17,,,,,
-3.25,3.25,1970-01-01 01:10:27,1970-01-01 01:10:41,,14,,
-1.75,-1.75,1970-01-01 01:10:37,,,,,
-1.25,1.25,1970-01-01 01:10:48,,,,,
-1.25,-4.25,1970-01-01 01:10:58,,,,,
1.75,-1.25,1970-01-01 01:00:02,1970-01-01 01:00:12,1970-01-01 01:00:29,10,17,27
2.25,2.75,1970-01-01 01:00:22,1970-01-01 01:00:30,1970-01-01 01:00:45,8,15,23
-1.25,-3.25,1970-01-01 01:00:33,1970-01-01 01:01:27,1970-01-01 01:01:44,54,17,71
3.75,-0.25,1970-01-01 01:00:43,1970-01-01 01:00:49,1970-01-01 01:01:15,6,26,32
-4.25,-0.25,1970-01-01 01:00:53,,,,,
3.25,-3.25,1970-01-01 01:01:03,1970-01-01 01:03:39,1970-01-01 01:03:59,156,20,176
3.25,3.75,1970-01-01 01:01:13,1970-01-01 01:01:28,1970-01-01 01:01:49,15,21,36
0.25,2.75,1970-01-01 01:01:23,,,,,
-1.25,0.25,1970-01-01 01:01:33,,,,,
-2.25,-2.25,1970-01-01 01:01:43,1970-01-01 01:01:44,1970-01-01 01:01:53,1,9,10
-2.25,-3.25,1970-01-01 01:08:16,,,,,
0.25,-2.25,1970-01-01 01:02:13,,,,,
-0.75,3.25,1970-01-01 01:02:23,,,,,
-0.75,-4.25,1970-01-01 01:03:34,,,,,
1.25,-3.25,1970-01-01 01:02:43,,,,,
1.25,-1.75,1970-01-01 01:04:14,,,,,
-3.75,3.25,1970-01-01 01:03:04,1970-01-01 01:03:09,1970-01-01 01:03:39,5,30,35
1.25,-1.75,1970-01-01 01:04:14,,,,,
-0.25,0.75,1970-01-01 01:03:44,,,,,
-0.75,-4.25,1970-01-01 01:03:34,,,,,
-0.25,0.75,1970-01-01 01:03:44,,,,,
0.75,-0.75,1970-01-01 01:03:54,,,,,
-2.75,-2.25,1970-01-01 01:04:04,1970-01-01 01:04:46,1970-01-01 01:06:11,42,85,127
1.25,-1.75,1970-01-01 01:04:14,,,,,
-1.25,-1.25,1970-01-01 01:04:34,1970-01-01 01:04:42,1970-01-01 01:05:03,8,21,29
2.25,-3.75,1970-01-01 01:04:44,1970-01-01 01:05:13,1970-01-01 01:05:34,29,21,50
2.25,1.75,1970-01-01 01:04:54,,,,,
-0.75,1.25,1970-01-01 01:05:05,,,,,
2.25,1.25,1970-01-01 01:05:15,,,,,
1.25,-4.25,1970-01-01 01:05:25,,,,,
3.75,2.25,1970-01-01 01:05:35,,,,,
0.25,3.75,1970-01-01 01:05:45,1970-01-01 01:08:37,1970-01-01 01:09:04,172,27,199
-1.25,-2.75,1970-01-01 01:05:55,1970-01-01 01:06:41,1970-01-01 01:07:12,46,31,77
0.75,-0.25,1970-01-01 01:07:06,,,,,
-0.25,4.25,1970-01-01 01:06:15,,,,,
-3.75,-0.25,1970-01-01 01:06:25,,,,,
-0.25,-2.25,1970-01-01 01:06:36,1970-01-01 01:06:47,1970-01-01 01:07:20,11,33,44
-3.75,-1.25,1970-01-01 01:06:46,1970-01-01 01:07:03,1970-01-01 01:07:23,17,20,37
1.75,-1.75,1970-01-01 01:06:56,,,,,
0.75,-0.25,1970-01-01 01:07:06,,,,,
-0.25,-1.25,1970-01-01 01:07:16,,,,,
2.75,-1.25,1970-01-01 01:07:26,,,,,
-3.75,-0.75,1970-01-01 01:07:36,1970-01-01 01:09:20,1970-01-01 01:09:40,104,20,124
0.75,2.25,1970-01-01 01:07:46,1970-01-01 01:08:57,1970-01-01 01:09:37,71,40,111
2.75,-1.75,1970-01-01 01:07:56,,,,,
-0.75,-2.25,1970-01-01 01:08:06,,,,,
-2.25,-3.25,1970-01-01 01:08:16,,,,,
4.25,0.75,1970-01-01 01:08:26,,,,,
1.75,0.25,1970-01-01 01:08:36,,,,,
-3.25,2.25,1970-01-01 01:08:46,,,,,
0.75,-1.75,1970-01-01 01:09:07,,,,,
0.25,-1.25,1970-01-01 01:09:17,,,,,
-1.75,-2.75,1970-01-01 01:09:27,,,,,
0.25,0.75,1970-01-01 01:09:37,,,,,
-1.75,-1.25,1970-01-01 01:09:47,1970-01-01 01:09:59,,12,,
-2.25,-0.25,1970-01-01 01:09:57,,,,,
-3.75,-2.25,1970-01-01 01:10:07,,,,,
1.75,-3.75,1970-01-01 01:10:17,1970-01-01 01:10:18,,1,,
0.75,4.25,1970-01-01 01:10:27,,,,,
0.75,-2.25,1970-01-01 01:10:37,,,,,
2.75,-3.25,1970-01-01 01:00:02,1970-01-01 01:00:45,1970-01-01 01:03:01,43,136,179
0.25,4.25,1970-01-01 01:00:22,,,,,
1.25,-3.75,1970-01-01 01:00:32,1970-01-01 01:00:36,1970-01-01 01:02:52,4,136,140
-1.75,-3.25,1970-01-01 01:00:42,,,,,
2.75,-1.25,1970-01-01 01:00:52,,,,,
0.25,2.25,1970-01-01 01:01:02,,,,,
1.75,-2.75,1970-01-01 01:01:12,1970-01-01 01:02:53,1970-01-01 01:03:18,101,25,126
-0.25,-1.25,1970-01-01 01:01:22,1970-01-01 01:01:23,1970-01-01 01:01:46,1,23,24
2.25,2.75,1970-01-01 01:01:33,1970-01-01 01:01:38,1970-01-01 01:02:03,5,25,30
-2.25,-2.25,1970-01-01 01:01:43,,,,,
-0.75,-2.75,1970-01-01 01:01:53,1970-01-01 01:01:58,1970-01-01 01:02:37,5,39,44
-0.75,1.25,1970-01-01 01:02:03,1970-01-01 01:02:04,1970-01-01 01:02:29,1,25,26
1.75,-1.75,1970-01-01 01:02:13,,,,,
1.75,0.75,1970-01-01 01:02:23,1970-01-01 01:02:24,1970-01-01 01:02:42,1,18,19
-2.25,2.25,1970-01-01 01:06:25,,,,,
-2.75,-4.25,1970-01-01 01:02:43,,,,,
-3.25,-0.25,1970-01-01 01:02:53,,,,,
1.25,2.75,1970-01-01 01:03:04,,,,,
-2.75,-2.25,1970-01-01 01:03:14,,,,,
0.75,2.75,1970-01-01 01:03:24,,,,,
-2.75,-1.25,1970-01-01 01:03:34,1970-01-01 01:03:38,1970-01-01 01:03:57,4,19,23
0.25,-3.25,1970-01-01 01:03:44,1970-01-01 01:04:10,1970-01-01 01:04:34,26,24,50
-2.25,2.25,1970-01-01 01:06:25,,,,,
-2.25,-4.25,1970-01-01 01:08:26,,,,,
3.75,-4.25,1970-01-01 01:04:14,,,,,
1.75,-4.25,1970-01-01 01:04:24,,,,,
0.75,1.25,1970-01-01 01:04:34,,,,,
0.75,-0.25,1970-01-01 01:04:44,1970-01-01 01:06:46,1970-01-01 01:08:48,122,122,244
0.25,0.75,1970-01-01 01:04:54,,,,,
2.25,3.75,1970-01-01 01:05:05,1970-01-01 01:05:52,1970-01-01 01:07:28,47,96,143
-0.75,1.75,1970-01-01 01:05:15,,,,,
0.25,3.75,1970-01-01 01:05:25,1970-01-01 01:05:39,1970-01-01 01:06:03,14,24,38
2.75,-4.25,1970-01-01 01:05:35,,,,,
4.25,-1.25,1970-01-01 01:05:45,1970-01-01 01:09:19,1970-01-01 01:09:41,214,22,236
0.25,-1.25,1970-01-01 01:05:55,,,,,
-2.75,-0.25,1970-01-01 01:06:05,,,,,
-3.25,-1.75,1970-01-01 01:06:15,1970-01-01 01:06:15,1970-01-01 01:06:24,0,9,9
-2.25,2.25,1970-01-01 01:06:25,,,,,
1.25,-2.25,1970-01-01 01:07:25,,,,,
-0.25,-1.75,1970-01-01 01:06:45,1970-01-01 01:06:51,1970-01-01 01:09:00,6,129,135
3.25,2.75,1970-01-01 01:06:55,1970-01-01 01:07:33,1970-01-01 01:07:57,38,24,62
-1.25,1.25,1970-01-01 01:07:05,1970-01-01 01:07:10,1970-01-01 01:08:22,5,72,77
-3.75,-0.25,1970-01-01 01:07:15,1970-01-01 01:07:34,1970-01-01 01:08:08,19,34,53
1.25,-2.25,1970-01-01 01:07:25,,,,,
0.25,1.75,1970-01-01 01:07:35,,,,,
0.25,3.25,1970-01-01 01:07:45,,,,,
0.75,0.25,1970-01-01 01:07:56,,,,,
0.75,3.25,1970-01-01 01:08:06,,,,,
0.25,1.25,1970-01-01 01:08:16,1970-01-01 01:08:22,1970-01-01 01:08:45,6,23,29
-2.25,-4.25,1970-01-01 01:08:26,,,,,
-2.75,0.25,1970-01-01 01:08:36,,,,,
0.75,-2.25,1970-01-01 01:08:46,,,,,
-2.75,2.25,1970-01-01 01:08:56,,,,,
-1.75,-0.75,1970-01-01 01:09:06,1970-01-01 01:09:11,1970-01-01 01:09:26,5,15,20
-0.25,1.75,1970-01-01 01:09:16,,,,,
-3.75,3.25,1970-01-01 01:09:26,1970-01-01 01:09:51,1970-01-01 01:10:33,25,42,67
-1.25,1.75,1970-01-01 01:09:36,1970-01-01 01:09:43,1970-01-01 01:10:14,7,31,38
-3.75,0.75,1970-01-01 01:09:46,1970-01-01 01:09:47,1970-01-01 01:09:57,1,10,11
1.25,0.75,1970-01-01 01:09:56,1970-01-01 01:10:02,,6,,
-0.75,-2.25,1970-01-01 01:10:06,1970-01-01 01:10:19,1970-01-01 01:10:43,13,24,37
-3.25,3.75,1970-01-01 01:10:17,,,,,
2.25,-0.75,1970-01-01 01:10:27,,,,,
-0.25,-2.25,1970-01-01 01:10:47,,,,,
-2.75,2.75,1970-01-01 01:00:02,1970-01-01 01:01:29,1970-01-01 01:02:07,87,38,125
-1.25,-2.75,1970-01-01 01:00:12,1970-01-01 01:00:25,1970-01-01 01:01:03,13,38,51
-2.25,2.75,1970-01-01 01:00:22,,,,,
-1.25,-4.25,1970-01-01 01:00:32,1970-01-01 01:00:38,1970-01-01 01:00:53,6,15,21
-0.75,-3.25,1970-01-01 01:00:42,,,,,
-3.25,3.75,1970-01-01 01:10:17,1970-01-01 01:10:23,1970-01-01 01:10:50,6,27,33
-1.75,-0.75,1970-01-01 01:01:02,,,,,
1.25,3.25,1970-01-01 01:01:13,1970-01-01 01:01:22,1970-01-01 01:01:37,9,15,24
-3.25,2.75,1970-01-01 01:09:07,1970-01-01 01:10:06,1970-01-01 01:10:21,59,15,74
3.75,3.75,1970-01-01 01:01:33,1970-01-01 01:01:41,1970-01-01 01:02:32,8,51,59
-0.25,-3.25,1970-01-01 01:01:43,1970-01-01 01:03:11,1970-01-01 01:03:37,88,26,114
0.25,-2.75,1970-01-01 01:08:16,1970-01-01 01:08:29,1970-01-01 01:09:47,13,78,91
-1.25,-3.25,1970-01-01 01:02:03,1970-01-01 01:03:35,1970-01-01 01:04:18,92,43,135
0.75,-1.75,1970-01-01 01:02:13,,,,,
-0.25,-2.75,1970-01-01 01:08:26,1970-01-01 01:08:27,1970-01-01 01:09:41,1,74,75
1.25,2.75,1970-01-01 01:02:43,1970-01-01 01:02:49,1970-01-01 01:03:20,6,31,37
-2.25,-1.75,1970-01-01 01:02:53,,,,,
0.25,-0.75,1970-01-01 01:03:03,,,,,
-2.75,-3.75,1970-01-01 01:03:14,,,,,
1.75,-4.25,1970-01-01 01:03:24,,,,,
-0.25,0.75,1970-01-01 01:03:34,,,,,
0.75,-2.75,1970-01-01 01:03:44,,,,,
-1.75,-0.25,1970-01-01 01:03:54,,,,,
-2.25,-0.25,1970-01-01 01:04:04,,,,,
-2.75,-0.25,1970-01-01 01:04:14,,,,,
-1.25,-1.25,1970-01-01 01:04:24,1970-01-01 01:04:34,1970-01-01 01:05:01,10,27,37
2.25,-4.25,1970-01-01 01:04:34,1970-01-01 01:07:30,1970-01-01 01:09:23,176,113,289
2.75,-3.25,1970-01-01 01:04:55,1970-01-01 01:07:38,1970-01-01 01:08:53,163,75,238
-1.25,0.25,1970-01-01 01:05:05,1970-01-01 01:05:38,1970-01-01 01:05:51,33,13,46
0.75,0.25,1970-01-01 01:09:47,,,,,
0.25,0.75,1970-01-01 01:05:25,,,,,
0.75,-0.25,1970-01-01 01:05:35,,,,,
1.25,1.25,1970-01-01 01:05:45,,,,,
-3.25,-1.25,1970-01-01 01:05:55,,,,,
2.75,0.75,1970-01-01 01:06:05,1970-01-01 01:07:49,1970-01-01 01:08:17,104,28,132
-3.75,2.75,1970-01-01 01:06:25,1970-01-01 01:10:19,1970-01-01 01:10:43,234,24,258
0.75,-3.25,1970-01-01 01:06:35,,,,,
-0.25,1.25,1970-01-01 01:06:46,1970-01-01 01:07:14,1970-01-01 01:07:37,28,23,51
0.75,1.25,1970-01-01 01:06:56,1970-01-01 01:07:19,1970-01-01 01:07:43,23,24,47
3.25,-3.75,1970-01-01 01:07:06,1970-01-01 01:07:33,1970-01-01 01:09:13,27,100,127
-2.75,-1.25,1970-01-01 01:07:16,1970-01-01 01:07:23,1970-01-01 01:07:45,7,22,29
1.25,3.75,1970-01-01 01:07:26,,,,,
2.25,-0.25,1970-01-01 01:07:36,,,,,
-1.75,-3.75,1970-01-01 01:07:46,1970-01-01 01:07:57,1970-01-01 01:09:35,11,98,109
1.75,-1.25,1970-01-01 01:07:56,,,,,
0.25,-2.75,1970-01-01 01:08:16,1970-01-01 01:08:29,1970-01-01 01:09:47,13,78,91
-0.25,-2.75,1970-01-01 01:08:26,1970-01-01 01:08:27,1970-01-01 01:09:41,1,74,75
2.25,-1.75,1970-01-01 01:08:36,,,,,
-0.25,-1.75,1970-01-01 01:08:57,,,,,
-3.25,2.75,1970-01-01 01:09:07,1970-01-01 01:10:06,1970-01-01 01:10:21,59,15,74
-1.25,3.75,1970-01-01 01:09:17,1970-01-01 01:10:36,,79,,
-2.75,0.25,1970-01-01 01:09:27,1970-01-01 01:10:10,1970-01-01 01:10:29,43,19,62
0.75,0.25,1970-01-01 01:09:47,,,,,
2.75,1.25,1970-01-01 01:09:57,,,,,
3.25,0.75,1970-01-01 01:10:07,,,,,
-3.25,3.75,1970-01-01 01:10:17,1970-01-01 01:10:23,1970-01-01 01:10:50,6,27,33
0.25,2.25,1970-01-01 01:10:27,1970-01-01 01:10:32,1970-01-01 01:10:49,5,17,22
-1.75,-3.25,1970-01-01 01:10:37,,,,,
3.25,2.25,1970-01-01 01:10:47,,,,,
-2.25,-1.75,1970-01-01 01:00:02,1970-01-01 01:00:19,1970-01-01 01:01:24,17,65,82
-2.75,-0.75,1970-01-01 01:00:12,1970-01-01 01:00:14,1970-01-01 01:01:16,2,62,64
0.25,2.25,1970-01-01 01:00:22,1970-01-01 01:00:27,1970-01-01 01:00:52,5,25,30
-0.75,-3.75,1970-01-01 01:00:32,1970-01-01 01:00:34,1970-01-01 01:00:51,2,17,19
0.25,3.25,1970-01-01 01:00:42,,,,,
-1.75,-0.25,1970-01-01 01:00:52,,,,,
0.25,4.25,1970-01-01 01:01:02,,,,,
-0.25,-3.75,1970-01-01 01:01:13,1970-01-01 01:01:22,1970-01-01 01:01:39,9,17,26
1.25,-1.75,1970-01-01 01:01:23,,,,,
1.25,-2.25,1970-01-01 01:01:33,,,,,
-0.75,-2.25,1970-01-01 01:01:43,1970-01-01 01:01:48,1970-01-01 01:02:36,5,48,53
-2.25,-2.25,1970-01-01 01:01:53,1970-01-01 01:01:58,1970-01-01 01:02:18,5,20,25
-1.25,-3.25,1970-01-01 01:02:03,,,,,
2.25,4.25,1970-01-01 01:02:13,,,,,
-2.75,2.75,1970-01-01 01:02:23,,,,,
-1.25,-2.75,1970-01-01 01:02:33,,,,,
-1.25,-2.25,1970-01-01 01:06:35,1970-01-01 01:06:41,1970-01-01 01:06:52,6,11,17
4.25,-0.25,1970-01-01 01:02:54,1970-01-01 01:03:10,1970-01-01 01:03:29,16,19,35
-0.75,-0.25,1970-01-01 01:03:04,,,,,
-2.75,2.25,1970-01-01 01:03:14,,,,,
2.25,-1.75,1970-01-01 01:03:24,,,,,
-0.75,0.75,1970-01-01 01:03:34,1970-01-01 01:03:45,1970-01-01 01:04:01,11,16,27
1.75,-4.25,1970-01-01 01:03:44,,,,,
-2.25,-0.75,1970-01-01 01:03:54,,,,,
-0.75,-1.25,1970-01-01 01:04:04,,,,,
2.75,-4.25,1970-01-01 01:04:14,,,,,
2.25,3.75,1970-01-01 01:04:24,,,,,
4.25,-1.25,1970-01-01 01:04:35,,,,,
-1.25,0.25,1970-01-01 01:04:45,1970-01-01 01:04:50,1970-01-01 01:05:04,5,14,19
-2.25,-3.25,1970-01-01 01:04:55,,,,,
-2.75,3.25,1970-01-01 01:05:05,,,,,
1.75,1.25,1970-01-01 01:05:15,,,,,
0.75,-1.25,1970-01-01 01:05:25,1970-01-01 01:05:41,1970-01-01 01:06:07,16,26,42
3.25,-1.75,1970-01-01 01:05:35,,,,,
-0.75,-3.25,1970-01-01 01:05:45,,,,,
2.75,-1.75,1970-01-01 01:05:55,,,,,
-1.25,-1.75,1970-01-01 01:06:05,1970-01-01 01:06:05,1970-01-01 01:06:14,0,9,9
0.25,-3.25,1970-01-01 01:06:15,1970-01-01 01:06:52,1970-01-01 01:07:14,37,22,59
0.75,-2.75,1970-01-01 01:06:25,1970-01-01 01:06:52,1970-01-01 01:07:19,27,27,54
-1.25,-2.25,1970-01-01 01:06:35,1970-01-01 01:06:41,1970-01-01 01:06:52,6,11,17
-1.25,-3.75,1970-01-01 01:08:56,1970-01-01 01:09:30,1970-01-01 01:10:15,34,45,79
0.75,-1.75,1970-01-01 01:06:55,,,,,
-1.75,-0.75,1970-01-01 01:07:05,,,,,
1.75,-1.25,1970-01-01 01:07:15,1970-01-01 01:08:49,1970-01-01 01:09:16,94,27,121
0.75,-4.25,1970-01-01 01:07:25,,,,,
-2.25,-0.25,1970-01-01 01:07:36,1970-01-01 01:07:46,1970-01-01 01:07:58,10,12,22
1.25,-3.25,1970-01-01 01:07:46,,,,,
