x,y,spawned,detected,attained,discovery,attainment,total_time
-2.25,-1.75,1970-01-01 01:00:03,1970-01-01 01:00:27,1970-01-01 01:00:40,24,13,37
-2.75,-0.75,1970-01-01 01:00:13,1970-01-01 01:00:22,1970-01-01 01:00:48,9,26,35
0.25,1.75,1970-01-01 01:00:23,1970-01-01 01:00:24,1970-01-01 01:01:09,1,45,46
-1.25,4.25,1970-01-01 01:00:33,1970-01-01 01:00:34,1970-01-01 01:00:52,1,18,19
0.25,3.25,1970-01-01 01:00:43,,,,,
-1.75,-0.25,1970-01-01 01:00:53,,,,,
0.25,4.25,1970-01-01 01:01:03,,,,,
-0.75,4.25,1970-01-01 01:01:13,,,,,
1.25,-1.75,1970-01-01 01:01:23,,,,,
1.25,-2.25,1970-01-01 01:01:34,,,,,
-0.75,-3.25,1970-01-01 01:01:44,1970-01-01 01:01:54,1970-01-01 01:02:10,10,16,26
-2.25,-2.25,1970-01-01 01:01:54,1970-01-01 01:02:00,1970-01-01 01:02:22,6,22,28
-1.25,-3.75,1970-01-01 01:02:04,1970-01-01 01:02:05,1970-01-01 01:02:15,1,10,11
-2.75,2.25,1970-01-01 01:02:24,,,,,
-1.25,-3.25,1970-01-01 01:02:44,1970-01-01 01:03:21,1970-01-01 01:03:37,37,16,53
-1.25,-3.25,1970-01-01 01:02:44,1970-01-01 01:03:21,1970-01-01 01:03:37,37,16,53
4.25,-0.75,1970-01-01 01:02:54,,,,,
-0.75,-1.25,1970-01-01 01:03:04,1970-01-01 01:03:11,1970-01-01 01:03:47,7,36,43
-2.75,1.75,1970-01-01 01:03:15,,,,,
2.25,-3.25,1970-01-01 01:03:25,1970-01-01 01:03:53,1970-01-01 01:04:17,28,24,52
-0.75,-0.25,1970-01-01 01:03:35,,,,,
1.75,-3.75,1970-01-01 01:03:45,1970-01-01 01:03:52,1970-01-01 01:04:12,7,20,27
-2.25,-0.75,1970-01-01 01:03:55,,,,,
-0.75,-2.25,1970-01-01 01:04:05,,,,,
2.25,4.25,1970-01-01 01:04:15,,,,,
4.25,-1.25,1970-01-01 01:04:35,,,,,
-1.25,-0.25,1970-01-01 01:04:45,,,,,
-2.75,3.25,1970-01-01 01:05:06,,,,,
1.75,0.75,1970-01-01 01:05:16,,,,,
0.75,-1.25,1970-01-01 01:05:26,,,,,
3.25,-1.75,1970-01-01 01:05:36,,,,,
-0.75,-4.25,1970-01-01 01:09:58,,,,,
2.75,-1.75,1970-01-01 01:05:56,,,,,
-1.25,-2.75,1970-01-01 01:06:36,,,,,
0.25,-3.75,1970-01-01 01:06:16,,,,,
0.75,-3.25,1970-01-01 01:06:26,,,,,
-1.25,-2.75,1970-01-01 01:06:36,,,,,
-1.25,-4.25,1970-01-01 01:08:57,,,,,
0.75,-1.75,1970-01-01 01:06:56,,,,,
-1.75,-0.75,1970-01-01 01:07:06,,,,,
1.75,-1.75,1970-01-01 01:07:17,,,,,
0.75,-4.25,1970-01-01 01:07:27,,,,,
-2.25,-0.25,1970-01-01 01:07:37,,,,,
1.25,-3.25,1970-01-01 01:07:47,,,,,
3.25,-1.25,1970-01-01 01:07:57,,,,,
3.75,-4.25,1970-01-01 01:08:07,,,,,
1.75,-3.25,1970-01-01 01:08:17,,,,,
-2.75,3.75,1970-01-01 01:08:27,,,,,
0.75,2.75,1970-01-01 01:08:37,,,,,
-3.25,0.75,1970-01-01 01:08:47,,,,,
-1.25,-4.25,1970-01-01 01:08:57,,,,,
-2.25,3.75,1970-01-01 01:09:07,,,,,
-1.25,-1.25,1970-01-01 01:09:17,,,,,
1.25,-2.75,1970-01-01 01:09:27,,,,,
-1.25,-0.75,1970-01-01 01:09:37,,,,,
0.25,2.25,1970-01-01 01:09:47,,,,,
-0.75,-4.25,1970-01-01 01:09:58,,,,,
-1.25,1.25,1970-01-01 01:10:28,,,,,
-3.75,-0.25,1970-01-01 01:10:18,,,,,
-1.25,1.25,1970-01-01 01:10:28,,,,,
3.25,-4.25,1970-01-01 01:10:38,,,,,
-2.25,3.25,1970-01-01 01:10:48,,,,,
1.25,3.25,1970-01-01 01:10:58,,,,,
