x,y,spawned,detected,attained,discovery,attainment,total_time
-2.25,-1.75,1970-01-01 01:00:02,1970-01-01 01:00:18,1970-01-01 01:01:22,16,64,80
-2.75,-0.75,1970-01-01 01:00:12,1970-01-01 01:00:13,1970-01-01 01:01:15,1,62,63
0.25,2.25,1970-01-01 01:00:22,1970-01-01 01:00:28,1970-01-01 01:00:53,6,25,31
-0.75,-3.75,1970-01-01 01:00:32,1970-01-01 01:00:34,1970-01-01 01:00:50,2,16,18
0.25,3.25,1970-01-01 01:00:42,,,,,
-1.75,-0.25,1970-01-01 01:00:53,,,,,
0.25,4.25,1970-01-01 01:01:03,,,,,
-0.25,-3.75,1970-01-01 01:01:13,,,,,
1.25,-1.75,1970-01-01 01:01:23,,,,,
1.25,-2.25,1970-01-01 01:01:33,,,,,
-0.75,-2.25,1970-01-01 01:01:43,,,,,
-2.25,-2.25,1970-01-01 01:01:53,1970-01-01 01:01:59,1970-01-01 01:02:10,6,11,17
-1.25,-3.25,1970-01-01 01:02:03,,,,,
2.25,4.25,1970-01-01 01:02:13,,,,,
-2.75,2.75,1970-01-01 01:02:24,,,,,
-1.25,-2.75,1970-01-01 01:02:34,1970-01-01 01:02:39,1970-01-01 01:03:08,5,29,34
-1.25,-2.25,1970-01-01 01:06:35,1970-01-01 01:06:41,1970-01-01 01:07:26,6,45,51
4.25,-0.25,1970-01-01 01:02:54,,,,,
-0.75,-0.25,1970-01-01 01:03:04,,,,,
-2.75,2.25,1970-01-01 01:03:14,,,,,
2.25,-1.75,1970-01-01 01:03:24,,,,,
-0.75,0.75,1970-01-01 01:03:34,,,,,
1.75,-4.25,1970-01-01 01:03:44,,,,,
-2.25,-0.75,1970-01-01 01:03:54,1970-01-01 01:04:00,1970-01-01 01:04:13,6,13,19
-0.75,-1.25,1970-01-01 01:04:04,,,,,
2.75,-4.25,1970-01-01 01:04:14,,,,,
2.25,3.75,1970-01-01 01:04:24,,,,,
4.25,-1.25,1970-01-01 01:04:34,,,,,
-1.25,0.25,1970-01-01 01:04:45,1970-01-01 01:04:50,1970-01-01 01:05:04,5,14,19
-2.25,-3.25,1970-01-01 01:04:55,,,,,
-2.75,3.25,1970-01-01 01:05:05,,,,,
1.75,1.25,1970-01-01 01:05:15,,,,,
0.75,-1.25,1970-01-01 01:05:25,,,,,
3.25,-1.75,1970-01-01 01:05:35,,,,,
2.75,-1.75,1970-01-01 01:05:55,,,,,
-1.25,-1.75,1970-01-01 01:06:05,,,,,
0.25,-3.25,1970-01-01 01:06:15,,,,,
0.75,-2.75,1970-01-01 01:06:25,,,,,
-1.25,-2.25,1970-01-01 01:06:35,1970-01-01 01:06:41,1970-01-01 01:07:26,6,45,51
0.75,-1.75,1970-01-01 01:06:56,,,,,
-1.75,-0.75,1970-01-01 01:07:06,,,,,
1.75,-1.25,1970-01-01 01:07:16,,,,,
0.75,-4.25,1970-01-01 01:07:26,,,,,
-2.25,-0.25,1970-01-01 01:07:36,1970-01-01 01:07:46,1970-01-01 01:08:02,10,16,26
1.25,-3.25,1970-01-01 01:07:46,,,,,
3.25,-1.25,1970-01-01 01:07:56,,,,,
3.75,-4.25,1970-01-01 01:08:06,,,,,
1.75,-3.25,1970-01-01 01:08:16,1970-01-01 01:08:42,1970-01-01 01:09:20,26,38,64
-2.75,3.75,1970-01-01 01:08:26,,,,,
0.75,2.75,1970-01-01 01:08:36,,,,,
-3.25,0.25,1970-01-01 01:08:46,1970-01-01 01:08:52,1970-01-01 01:09:09,6,17,23
-2.25,4.25,1970-01-01 01:09:06,,,,,
-1.25,-0.75,1970-01-01 01:09:16,1970-01-01 01:09:23,1970-01-01 01:09:45,7,22,29
1.25,-2.75,1970-01-01 01:09:26,,,,,
-1.25,-0.25,1970-01-01 01:09:37,,,,,
0.25,2.75,1970-01-01 01:09:47,,,,,
-0.75,-3.25,1970-01-01 01:09:57,1970-01-01 01:06:22,1970-01-01 01:06:49,-215,27,-188
-1.25,3.25,1970-01-01 01:10:07,,,,,
-3.75,-0.25,1970-01-01 01:10:17,,,,,
-1.25,1.75,1970-01-01 01:10:27,,,,,
3.25,-4.25,1970-01-01 01:10:37,,,,,
-2.25,3.75,1970-01-01 01:10:47,,,,,
1.25,3.25,1970-01-01 01:10:57,,,,,
