x,y,spawned,detected,attained,discovery,attainment,total_time
2.25,-1.75,1970-01-01 01:00:02,,,,,
2.25,2.75,1970-01-01 01:00:12,,,,,
-2.75,2.75,1970-01-01 01:00:22,,,,,
1.25,3.75,1970-01-01 01:00:32,1970-01-01 01:00:38,1970-01-01 01:02:43,6,125,131
2.75,3.75,1970-01-01 01:00:42,1970-01-01 01:00:48,1970-01-01 01:02:52,6,124,130
1.25,2.25,1970-01-01 01:06:36,1970-01-01 01:07:07,1970-01-01 01:07:24,31,17,48
0.75,0.75,1970-01-01 01:09:48,,,,,
0.75,-2.25,1970-01-01 01:01:23,1970-01-01 01:01:40,1970-01-01 01:02:12,17,32,49
-0.25,4.25,1970-01-01 01:01:43,1970-01-01 01:01:49,1970-01-01 01:02:25,6,36,42
0.25,-0.75,1970-01-01 01:01:53,,,,,
0.75,-3.75,1970-01-01 01:02:03,1970-01-01 01:02:09,1970-01-01 01:10:30,6,501,507
2.25,0.75,1970-01-01 01:02:13,1970-01-01 01:02:14,1970-01-01 01:03:30,1,76,77
0.75,1.25,1970-01-01 01:02:23,1970-01-01 01:02:29,1970-01-01 01:02:47,6,18,24
-0.25,-3.75,1970-01-01 01:02:34,1970-01-01 01:02:57,1970-01-01 01:03:14,23,17,40
-2.75,-4.25,1970-01-01 01:02:44,1970-01-01 01:03:06,1970-01-01 01:06:36,22,210,232
0.25,4.25,1970-01-01 01:02:54,1970-01-01 01:02:59,1970-01-01 01:04:07,5,68,73
3.25,2.75,1970-01-01 01:03:04,,,,,
3.75,-3.25,1970-01-01 01:03:14,,,,,
0.75,-3.25,1970-01-01 01:03:24,1970-01-01 01:03:25,1970-01-01 01:03:57,1,32,33
-2.75,-2.25,1970-01-01 01:03:34,1970-01-01 01:03:45,1970-01-01 01:06:58,11,193,204
-0.75,3.75,1970-01-01 01:03:44,1970-01-01 01:03:49,1970-01-01 01:04:00,5,11,16
2.75,-3.75,1970-01-01 01:03:54,1970-01-01 01:03:55,1970-01-01 01:04:12,1,17,18
-3.75,-2.25,1970-01-01 01:04:04,1970-01-01 01:04:51,1970-01-01 01:07:08,47,137,184
3.75,-3.75,1970-01-01 01:04:15,1970-01-01 01:04:15,1970-01-01 01:04:23,0,8,8
2.75,3.25,1970-01-01 01:04:25,1970-01-01 01:04:31,1970-01-01 01:05:16,6,45,51
-1.75,-3.25,1970-01-01 01:05:15,1970-01-01 01:05:21,1970-01-01 01:06:47,6,86,92
1.25,2.75,1970-01-01 01:04:45,,,,,
-1.75,-0.25,1970-01-01 01:04:55,,,,,
0.75,0.25,1970-01-01 01:05:05,,,,,
-1.75,-3.25,1970-01-01 01:05:15,1970-01-01 01:05:21,1970-01-01 01:06:47,6,86,92
-2.25,4.25,1970-01-01 01:05:25,,,,,
-2.75,-0.75,1970-01-01 01:05:35,1970-01-01 01:05:39,1970-01-01 01:05:56,4,17,21
1.25,2.25,1970-01-01 01:06:36,1970-01-01 01:07:07,1970-01-01 01:07:24,31,17,48
2.75,-3.25,1970-01-01 01:06:06,1970-01-01 01:06:11,,5,,
-3.25,-1.75,1970-01-01 01:06:16,1970-01-01 01:06:27,1970-01-01 01:07:02,11,35,46
-0.25,-2.25,1970-01-01 01:06:26,1970-01-01 01:06:26,1970-01-01 01:06:58,0,32,32
1.25,2.25,1970-01-01 01:06:36,1970-01-01 01:07:07,1970-01-01 01:07:24,31,17,48
3.75,0.25,1970-01-01 01:06:46,1970-01-01 01:07:10,1970-01-01 01:07:42,24,32,56
1.75,0.25,1970-01-01 01:06:56,1970-01-01 01:07:00,1970-01-01 01:07:55,4,55,59
2.75,0.75,1970-01-01 01:07:06,1970-01-01 01:07:12,,6,,
0.25,1.75,1970-01-01 01:07:16,1970-01-01 01:07:22,1970-01-01 01:09:01,6,99,105
0.75,2.75,1970-01-01 01:07:26,1970-01-01 01:07:32,1970-01-01 01:07:57,6,25,31
-2.25,-4.25,1970-01-01 01:07:37,1970-01-01 01:08:57,1970-01-01 01:10:11,80,74,154
-1.75,-4.25,1970-01-01 01:07:47,1970-01-01 01:08:56,1970-01-01 01:10:16,69,80,149
2.25,3.75,1970-01-01 01:07:57,,,,,
1.25,-4.25,1970-01-01 01:08:07,1970-01-01 01:08:53,,46,,
-1.75,-2.75,1970-01-01 01:08:17,1970-01-01 01:08:51,1970-01-01 01:09:08,34,17,51
-0.75,4.25,1970-01-01 01:08:27,1970-01-01 01:08:32,1970-01-01 01:08:44,5,12,17
-0.25,1.25,1970-01-01 01:08:37,1970-01-01 01:08:43,,6,,
1.25,-3.75,1970-01-01 01:08:47,1970-01-01 01:08:55,,8,,
-1.25,-1.75,1970-01-01 01:08:57,,,,,
-0.75,1.25,1970-01-01 01:09:07,,,,,
-2.25,-1.25,1970-01-01 01:09:28,1970-01-01 01:09:33,1970-01-01 01:10:39,5,66,71
0.25,-1.75,1970-01-01 01:09:38,1970-01-01 01:09:38,1970-01-01 01:09:48,0,10,10
0.75,0.75,1970-01-01 01:09:48,,,,,
0.25,-3.25,1970-01-01 01:09:58,,,,,
1.75,-4.25,1970-01-01 01:10:08,,,,,
-3.25,3.25,1970-01-01 01:10:18,,,,,
-1.75,-1.75,1970-01-01 01:10:28,,,,,
-1.25,1.25,1970-01-01 01:10:38,1970-01-01 01:10:38,,0,,
-2.25,-1.75,1970-01-01 01:00:02,1970-01-01 01:00:17,1970-01-01 01:01:46,15,89,104
-2.75,-0.75,1970-01-01 01:00:12,1970-01-01 01:00:12,1970-01-01 01:01:52,0,100,100
0.25,2.25,1970-01-01 01:00:22,,,,,
-0.75,-3.75,1970-01-01 01:00:32,1970-01-01 01:00:33,1970-01-01 01:00:52,1,19,20
0.25,3.25,1970-01-01 01:00:42,,,,,
-1.75,-0.25,1970-01-01 01:00:53,1970-01-01 01:00:54,1970-01-01 01:01:16,1,22,23
0.25,4.25,1970-01-01 01:01:03,,,,,
-0.25,-3.75,1970-01-01 01:01:13,1970-01-01 01:01:13,1970-01-01 01:01:31,0,18,18
1.25,-1.75,1970-01-01 01:01:23,,,,,
1.25,-2.25,1970-01-01 01:01:33,1970-01-01 01:04:08,1970-01-01 01:06:38,155,150,305
-0.75,-2.25,1970-01-01 01:01:43,,,,,
-2.25,-2.25,1970-01-01 01:01:53,,,,,
-1.25,-3.25,1970-01-01 01:02:03,1970-01-01 01:03:22,1970-01-01 01:04:24,79,62,141
2.25,4.25,1970-01-01 01:02:13,,,,,
-2.75,2.75,1970-01-01 01:02:23,1970-01-01 01:02:29,1970-01-01 01:03:19,6,50,56
-1.25,-2.75,1970-01-01 01:02:34,1970-01-01 01:03:19,1970-01-01 01:03:36,45,17,62
-1.25,-2.25,1970-01-01 01:06:36,1970-01-01 01:06:41,1970-01-01 01:07:04,5,23,28
4.25,-0.25,1970-01-01 01:02:54,,,,,
-0.75,-0.25,1970-01-01 01:03:04,,,,,
-2.75,2.25,1970-01-01 01:03:14,,,,,
2.25,-1.75,1970-01-01 01:03:24,,,,,
-0.75,0.75,1970-01-01 01:03:34,1970-01-01 01:03:47,1970-01-01 01:09:46,13,359,372
1.75,-4.25,1970-01-01 01:03:44,1970-01-01 01:03:48,1970-01-01 01:04:05,4,17,21
-2.25,-0.75,1970-01-01 01:03:55,1970-01-01 01:04:00,1970-01-01 01:04:53,5,53,58
-0.75,-1.25,1970-01-01 01:04:05,,,,,
2.75,-4.25,1970-01-01 01:04:15,1970-01-01 01:04:20,1970-01-01 01:07:36,5,196,201
2.25,3.75,1970-01-01 01:04:25,1970-01-01 01:05:10,,45,,
4.25,-1.25,1970-01-01 01:04:35,,,,,
-1.25,0.25,1970-01-01 01:04:45,1970-01-01 01:04:45,1970-01-01 01:05:01,0,16,16
-2.25,-3.25,1970-01-01 01:04:55,1970-01-01 01:05:00,1970-01-01 01:05:15,5,15,20
-2.75,3.25,1970-01-01 01:05:05,1970-01-01 01:10:02,,297,,
1.75,1.25,1970-01-01 01:05:15,,,,,
0.75,-1.25,1970-01-01 01:05:25,1970-01-01 01:05:31,1970-01-01 01:05:43,6,12,18
3.25,-1.75,1970-01-01 01:05:35,,,,,
2.75,-1.75,1970-01-01 01:05:55,,,,,
-1.25,-1.75,1970-01-01 01:06:06,1970-01-01 01:06:11,1970-01-01 01:06:43,5,32,37
0.25,-3.25,1970-01-01 01:06:16,1970-01-01 01:06:16,1970-01-01 01:06:55,0,39,39
0.75,-2.75,1970-01-01 01:06:26,1970-01-01 01:06:32,1970-01-01 01:07:01,6,29,35
-1.25,-2.25,1970-01-01 01:06:36,1970-01-01 01:06:41,1970-01-01 01:07:04,5,23,28
-1.25,-3.75,1970-01-01 01:08:57,1970-01-01 01:08:58,1970-01-01 01:09:16,1,18,19
0.75,-1.75,1970-01-01 01:06:56,,,,,
-1.75,-0.75,1970-01-01 01:07:06,,,,,
1.75,-1.25,1970-01-01 01:07:16,1970-01-01 01:07:22,1970-01-01 01:08:05,6,43,49
0.75,-4.25,1970-01-01 01:07:26,1970-01-01 01:07:32,1970-01-01 01:08:55,6,83,89
-2.25,-0.25,1970-01-01 01:07:36,1970-01-01 01:07:59,1970-01-01 01:09:55,23,116,139
1.25,-3.25,1970-01-01 01:07:47,1970-01-01 01:07:52,1970-01-01 01:08:45,5,53,58
3.25,-1.25,1970-01-01 01:07:57,,,,,
3.75,-4.25,1970-01-01 01:08:07,,,,,
1.75,-3.25,1970-01-01 01:08:17,,,,,
-2.75,3.75,1970-01-01 01:08:27,1970-01-01 01:10:06,,99,,
0.75,2.75,1970-01-01 01:08:37,,,,,
-3.25,0.25,1970-01-01 01:08:47,1970-01-01 01:09:33,1970-01-01 01:10:07,46,34,80
-1.25,-3.75,1970-01-01 01:08:57,1970-01-01 01:08:58,1970-01-01 01:09:16,1,18,19
-2.25,4.25,1970-01-01 01:09:07,,,,,
-1.25,-0.75,1970-01-01 01:09:17,,,,,
1.25,-2.75,1970-01-01 01:09:27,,,,,
-1.25,-0.25,1970-01-01 01:09:38,1970-01-01 01:09:43,,5,,
0.25,2.75,1970-01-01 01:09:48,1970-01-01 01:09:53,,5,,
-1.25,3.25,1970-01-01 01:10:08,1970-01-01 01:10:08,1970-01-01 01:10:25,0,17,17
-3.75,-0.25,1970-01-01 01:10:18,,,,,
-1.25,1.75,1970-01-01 01:10:28,,,,,
3.25,-4.25,1970-01-01 01:10:38,,,,,
-2.75,2.75,1970-01-01 01:00:03,1970-01-01 01:00:08,1970-01-01 01:02:23,5,135,140
-1.25,-3.75,1970-01-01 01:00:13,1970-01-01 01:00:27,1970-01-01 01:00:44,14,17,31
-2.25,2.25,1970-01-01 01:00:23,,,,,
-1.75,0.75,1970-01-01 01:00:33,1970-01-01 01:00:34,1970-01-01 01:00:47,1,13,14
-0.75,-4.25,1970-01-01 01:05:56,1970-01-01 01:06:02,1970-01-01 01:06:22,6,20,26
-1.75,-1.25,1970-01-01 01:01:03,1970-01-01 01:01:04,1970-01-01 01:01:14,1,10,11
1.25,3.25,1970-01-01 01:01:14,,,,,
-3.25,2.75,1970-01-01 01:01:24,1970-01-01 01:01:29,1970-01-01 01:02:28,5,59,64
3.75,3.25,1970-01-01 01:01:34,1970-01-01 01:03:23,1970-01-01 01:07:43,109,260,369
-0.25,-3.75,1970-01-01 01:01:44,1970-01-01 01:01:52,1970-01-01 01:02:41,8,49,57
-1.25,-4.25,1970-01-01 01:02:04,1970-01-01 01:02:05,1970-01-01 01:04:32,1,147,148
0.75,-1.75,1970-01-01 01:02:14,1970-01-01 01:02:15,1970-01-01 01:02:26,1,11,12
1.25,-4.25,1970-01-01 01:02:24,1970-01-01 01:02:25,1970-01-01 01:02:53,1,28,29
3.75,1.25,1970-01-01 01:02:34,,,,,
1.25,-3.25,1970-01-01 01:02:45,1970-01-01 01:02:50,1970-01-01 01:03:48,5,58,63
-3.75,3.25,1970-01-01 01:02:55,1970-01-01 01:05:23,1970-01-01 01:05:40,148,17,165
1.25,0.75,1970-01-01 01:03:05,1970-01-01 01:03:10,1970-01-01 01:03:22,5,12,17
0.75,-2.75,1970-01-01 01:06:17,1970-01-01 01:06:22,1970-01-01 01:06:45,5,23,28
3.25,-1.75,1970-01-01 01:03:25,,,,,
-1.75,-0.75,1970-01-01 01:03:35,1970-01-01 01:03:36,1970-01-01 01:04:14,1,38,39
1.75,-4.25,1970-01-01 01:09:39,1970-01-01 01:10:09,,30,,
-1.75,-0.25,1970-01-01 01:03:55,1970-01-01 01:03:56,1970-01-01 01:04:08,1,12,13
-2.25,-0.25,1970-01-01 01:04:05,1970-01-01 01:04:11,1970-01-01 01:06:08,6,117,123
-2.75,-0.25,1970-01-01 01:04:15,,,,,
-1.25,-1.75,1970-01-01 01:04:25,1970-01-01 01:04:31,1970-01-01 01:04:43,6,12,18
2.75,3.25,1970-01-01 01:04:46,,,,,
2.75,-3.75,1970-01-01 01:04:56,1970-01-01 01:05:01,1970-01-01 01:05:34,5,33,38
-1.25,-0.25,1970-01-01 01:05:06,,,,,
0.75,-0.25,1970-01-01 01:05:16,,,,,
0.25,-0.75,1970-01-01 01:05:26,,,,,
2.25,3.25,1970-01-01 01:05:36,1970-01-01 01:06:20,1970-01-01 01:07:34,44,74,118
-0.75,-1.75,1970-01-01 01:05:46,,,,,
-0.75,-4.25,1970-01-01 01:05:56,1970-01-01 01:06:02,1970-01-01 01:06:22,6,20,26
-2.25,0.75,1970-01-01 01:06:07,,,,,
0.75,-2.75,1970-01-01 01:06:17,1970-01-01 01:06:22,1970-01-01 01:06:45,5,23,28
-0.75,-0.25,1970-01-01 01:06:27,1970-01-01 01:06:27,1970-01-01 01:06:46,0,19,19
1.25,-1.75,1970-01-01 01:06:37,,,,,
0.75,1.25,1970-01-01 01:06:57,,,,,
3.25,-3.75,1970-01-01 01:07:07,1970-01-01 01:07:16,1970-01-01 01:10:23,9,187,196
-2.75,-1.25,1970-01-01 01:07:17,1970-01-01 01:07:53,1970-01-01 01:09:17,36,84,120
1.25,4.25,1970-01-01 01:07:27,1970-01-01 01:07:33,1970-01-01 01:08:26,6,53,59
2.25,-0.75,1970-01-01 01:07:38,1970-01-01 01:07:52,1970-01-01 01:08:26,14,34,48
-1.75,-4.25,1970-01-01 01:07:48,1970-01-01 01:07:48,,0,,
1.75,-1.75,1970-01-01 01:07:58,,,,,
-0.25,-3.25,1970-01-01 01:08:28,,,,,
1.75,-1.25,1970-01-01 01:08:38,,,,,
0.25,4.25,1970-01-01 01:08:48,1970-01-01 01:09:38,1970-01-01 01:10:09,50,31,81
-2.25,3.75,1970-01-01 01:08:58,1970-01-01 01:09:34,1970-01-01 01:09:54,36,20,56
1.25,0.25,1970-01-01 01:09:08,,,,,
-0.75,1.25,1970-01-01 01:09:18,,,,,
-2.25,-1.25,1970-01-01 01:09:29,,,,,
1.75,-4.25,1970-01-01 01:09:39,1970-01-01 01:10:09,,30,,
-1.25,-1.25,1970-01-01 01:09:49,1970-01-01 01:09:54,1970-01-01 01:10:41,5,47,52
-2.75,-3.75,1970-01-01 01:09:59,1970-01-01 01:10:03,,4,,
2.75,1.25,1970-01-01 01:10:09,,,,,
3.25,0.75,1970-01-01 01:10:19,,,,,
-1.75,-3.75,1970-01-01 01:10:49,,,,,
2.75,-3.25,1970-01-01 01:00:02,1970-01-01 01:00:44,1970-01-01 01:01:34,42,50,92
0.25,4.25,1970-01-01 01:00:22,1970-01-01 01:01:18,1970-01-01 01:01:31,56,13,69
1.25,-3.75,1970-01-01 01:00:32,1970-01-01 01:00:34,1970-01-01 01:01:25,2,51,53
-1.75,-3.25,1970-01-01 01:00:42,1970-01-01 01:00:48,1970-01-01 01:01:02,6,14,20
2.75,-1.25,1970-01-01 01:00:52,,,,,
0.25,2.25,1970-01-01 01:01:02,,,,,
1.75,-2.75,1970-01-01 01:01:12,1970-01-01 01:01:13,1970-01-01 01:01:42,1,29,30
-0.25,-1.25,1970-01-01 01:01:22,1970-01-01 01:01:23,1970-01-01 01:02:06,1,43,44
2.25,2.75,1970-01-01 01:01:32,,,,,
-2.25,-2.25,1970-01-01 01:01:43,,,,,
-0.75,-2.75,1970-01-01 01:01:53,1970-01-01 01:01:58,1970-01-01 01:04:05,5,127,132
-0.75,1.25,1970-01-01 01:02:03,1970-01-01 01:02:12,1970-01-01 01:03:02,9,50,59
1.75,-1.75,1970-01-01 01:02:13,,,,,
1.75,0.75,1970-01-01 01:02:23,1970-01-01 01:02:29,1970-01-01 01:02:42,6,13,19
-2.25,2.25,1970-01-01 01:06:25,1970-01-01 01:07:32,1970-01-01 01:08:16,67,44,111
-2.75,-4.25,1970-01-01 01:02:43,1970-01-01 01:03:16,1970-01-01 01:03:33,33,17,50
-3.25,-0.25,1970-01-01 01:02:53,1970-01-01 01:02:58,1970-01-01 01:04:39,5,101,106
1.25,2.75,1970-01-01 01:03:04,,,,,
-2.75,-2.25,1970-01-01 01:03:14,1970-01-01 01:03:19,1970-01-01 01:03:51,5,32,37
0.75,2.75,1970-01-01 01:03:24,1970-01-01 01:03:29,1970-01-01 01:04:54,5,85,90
-2.75,-1.25,1970-01-01 01:03:34,,,,,
0.25,-3.25,1970-01-01 01:03:44,,,,,
-2.25,2.25,1970-01-01 01:06:25,1970-01-01 01:07:32,1970-01-01 01:08:16,67,44,111
-2.25,-4.25,1970-01-01 01:04:04,,,,,
3.75,-4.25,1970-01-01 01:04:14,1970-01-01 01:06:19,1970-01-01 01:06:36,125,17,142
1.75,-4.25,1970-01-01 01:04:24,1970-01-01 01:06:09,1970-01-01 01:06:57,105,48,153
0.75,1.25,1970-01-01 01:04:34,,,,,
0.75,-0.25,1970-01-01 01:04:44,1970-01-01 01:04:50,1970-01-01 01:05:04,6,14,20
0.25,0.75,1970-01-01 01:04:55,,,,,
2.25,3.75,1970-01-01 01:05:05,1970-01-01 01:05:10,1970-01-01 01:05:32,5,22,27
-0.75,1.75,1970-01-01 01:05:15,,,,,
0.25,3.75,1970-01-01 01:05:25,1970-01-01 01:05:30,1970-01-01 01:08:35,5,185,190
2.75,-4.25,1970-01-01 01:05:35,1970-01-01 01:06:21,1970-01-01 01:06:54,46,33,79
4.25,-1.25,1970-01-01 01:05:45,,,,,
0.25,-1.25,1970-01-01 01:05:55,1970-01-01 01:06:00,1970-01-01 01:07:52,5,112,117
-2.75,-0.25,1970-01-01 01:06:05,1970-01-01 01:06:06,1970-01-01 01:07:42,1,96,97
-3.25,-1.75,1970-01-01 01:06:15,1970-01-01 01:06:16,1970-01-01 01:07:26,1,70,71
-2.25,2.25,1970-01-01 01:06:25,1970-01-01 01:07:32,1970-01-01 01:08:16,67,44,111
-0.25,-1.75,1970-01-01 01:06:45,1970-01-01 01:07:11,1970-01-01 01:07:47,26,36,62
3.25,2.75,1970-01-01 01:06:55,1970-01-01 01:08:00,,65,,
-1.25,1.25,1970-01-01 01:07:06,1970-01-01 01:07:21,1970-01-01 01:07:54,15,33,48
-3.75,-0.25,1970-01-01 01:07:16,1970-01-01 01:07:16,1970-01-01 01:07:34,0,18,18
0.25,1.75,1970-01-01 01:07:36,1970-01-01 01:07:44,1970-01-01 01:08:03,8,19,27
0.25,3.25,1970-01-01 01:07:46,,,,,
0.75,0.25,1970-01-01 01:07:56,,,,,
0.75,3.25,1970-01-01 01:08:06,1970-01-01 01:08:12,1970-01-01 01:08:39,6,27,33
0.25,1.25,1970-01-01 01:08:16,1970-01-01 01:08:22,,6,,
1.25,-1.25,1970-01-01 01:08:26,1970-01-01 01:08:27,1970-01-01 01:09:41,1,74,75
0.75,3.75,1970-01-01 01:08:36,1970-01-01 01:08:42,1970-01-01 01:09:25,6,43,49
-1.75,-2.25,1970-01-01 01:08:47,1970-01-01 01:08:52,1970-01-01 01:09:24,5,32,37
-2.75,2.25,1970-01-01 01:08:57,1970-01-01 01:09:14,,17,,
-1.75,-0.75,1970-01-01 01:09:07,1970-01-01 01:09:07,1970-01-01 01:09:16,0,9,9
-0.25,1.75,1970-01-01 01:09:17,1970-01-01 01:09:22,,5,,
-3.75,3.25,1970-01-01 01:09:27,,,,,
-1.25,1.75,1970-01-01 01:09:37,1970-01-01 01:09:49,,12,,
-3.75,0.75,1970-01-01 01:09:47,,,,,
1.25,0.75,1970-01-01 01:09:57,1970-01-01 01:10:03,,6,,
-0.75,-2.25,1970-01-01 01:10:07,1970-01-01 01:10:13,,6,,
-3.25,3.75,1970-01-01 01:10:17,,,,,
2.25,-0.75,1970-01-01 01:10:27,1970-01-01 01:10:47,,20,,
-0.25,-2.25,1970-01-01 01:10:48,1970-01-01 01:10:48,,0,,
1.75,-1.25,1970-01-01 01:00:02,,,,,
2.25,2.25,1970-01-01 01:09:18,,,,,
2.25,2.75,1970-01-01 01:00:23,1970-01-01 01:00:30,1970-01-01 01:00:46,7,16,23
-1.25,-3.25,1970-01-01 01:00:33,,,,,
3.75,-0.25,1970-01-01 01:00:43,,,,,
-4.25,-0.25,1970-01-01 01:00:53,1970-01-01 01:01:18,1970-01-01 01:01:39,25,21,46
3.25,-3.25,1970-01-01 01:01:03,1970-01-01 01:06:56,1970-01-01 01:07:42,353,46,399
3.25,3.75,1970-01-01 01:01:13,,,,,
0.25,2.75,1970-01-01 01:01:23,,,,,
-1.25,0.25,1970-01-01 01:01:33,,,,,
-2.25,-2.25,1970-01-01 01:01:43,1970-01-01 01:01:49,1970-01-01 01:02:55,6,66,72
-1.25,-0.25,1970-01-01 01:01:53,,,,,
-2.25,-3.25,1970-01-01 01:08:38,1970-01-01 01:08:39,1970-01-01 01:08:56,1,17,18
0.25,-2.25,1970-01-01 01:02:14,,,,,
-0.75,3.25,1970-01-01 01:02:24,,,,,
-0.75,-4.25,1970-01-01 01:02:34,,,,,
1.25,-3.25,1970-01-01 01:02:44,,,,,
1.25,-1.75,1970-01-01 01:03:14,,,,,
-3.75,3.25,1970-01-01 01:03:04,1970-01-01 01:03:10,1970-01-01 01:03:57,6,47,53
1.25,-1.75,1970-01-01 01:03:14,,,,,
-0.25,0.75,1970-01-01 01:03:24,,,,,
-1.25,4.25,1970-01-01 01:03:34,,,,,
0.75,3.25,1970-01-01 01:03:45,1970-01-01 01:04:00,1970-01-01 01:04:32,15,32,47
0.25,3.25,1970-01-01 01:07:57,,,,,
-2.75,2.25,1970-01-01 01:04:05,,,,,
1.25,2.25,1970-01-01 01:04:15,1970-01-01 01:04:26,1970-01-01 01:05:34,11,68,79
-2.75,-1.75,1970-01-01 01:04:25,1970-01-01 01:04:39,1970-01-01 01:04:57,14,18,32
-1.25,-1.25,1970-01-01 01:04:35,1970-01-01 01:04:39,1970-01-01 01:05:05,4,26,30
2.25,-3.75,1970-01-01 01:04:45,1970-01-01 01:06:50,1970-01-01 01:07:08,125,18,143
2.25,1.75,1970-01-01 01:04:56,,,,,
