x,y,spawned,detected,attained,discovery,attainment,total_time
-2.25,-1.75,1970-01-01 01:00:02,1970-01-01 01:00:17,1970-01-01 01:01:23,15.0,66.0,81.0
-2.75,-0.75,1970-01-01 01:00:12,1970-01-01 01:00:13,1970-01-01 01:01:14,1.0,61.0,62.0
0.25,2.25,1970-01-01 01:00:22,,,,,
-0.75,-3.75,1970-01-01 01:00:32,,,,,
0.25,3.25,1970-01-01 01:00:42,,,,,
-1.75,-0.25,1970-01-01 01:00:53,,,,,
0.25,4.25,1970-01-01 01:01:03,,,,,
-0.25,-3.75,1970-01-01 01:01:13,1970-01-01 01:01:19,1970-01-01 01:01:40,6.0,21.0,27.0
1.25,-1.75,1970-01-01 01:01:23,,,,,
1.25,-2.25,1970-01-01 01:01:33,1970-01-01 01:06:28,1970-01-01 01:07:10,295.0,42.0,337.0
-0.75,-2.25,1970-01-01 01:01:43,1970-01-01 01:01:49,1970-01-01 01:02:28,6.0,39.0,45.0
-2.25,-2.25,1970-01-01 01:01:54,,,,,
-1.25,-3.25,1970-01-01 01:02:04,1970-01-01 01:02:09,1970-01-01 01:02:20,5.0,11.0,16.0
2.25,4.25,1970-01-01 01:02:14,,,,,
-2.75,2.75,1970-01-01 01:02:24,,,,,
-1.25,-2.75,1970-01-01 01:02:34,,,,,
-1.25,-2.25,1970-01-01 01:02:44,,,,,
4.25,-0.25,1970-01-01 01:02:54,1970-01-01 01:06:01,,187.0,,
-0.75,-0.25,1970-01-01 01:03:04,1970-01-01 01:03:10,1970-01-01 01:03:21,6.0,11.0,17.0
-2.75,2.25,1970-01-01 01:03:14,,,,,
2.25,-1.75,1970-01-01 01:03:25,,,,,
-0.75,0.75,1970-01-01 01:03:35,1970-01-01 01:03:40,1970-01-01 01:04:02,5.0,22.0,27.0
1.75,-4.25,1970-01-01 01:03:45,,,,,
-2.25,-0.75,1970-01-01 01:03:55,,,,,
-0.75,-1.25,1970-01-01 01:04:05,1970-01-01 01:04:10,1970-01-01 01:04:22,5.0,12.0,17.0
2.75,-4.25,1970-01-01 01:04:15,,,,,
2.25,3.75,1970-01-01 01:04:25,1970-01-01 01:04:26,1970-01-01 01:04:40,1.0,14.0,15.0
4.25,-1.25,1970-01-01 01:04:35,1970-01-01 01:06:04,,89.0,,
-1.25,0.25,1970-01-01 01:04:45,1970-01-01 01:04:51,1970-01-01 01:05:08,6.0,17.0,23.0
-2.25,-3.25,1970-01-01 01:04:55,,,,,
-2.75,3.25,1970-01-01 01:05:05,1970-01-01 01:05:06,1970-01-01 01:05:22,1.0,16.0,17.0
1.75,1.25,1970-01-01 01:05:15,,,,,
0.75,-1.25,1970-01-01 01:05:25,,,,,
3.25,-1.75,1970-01-01 01:05:36,,,,,
-0.75,-3.25,1970-01-01 01:05:46,,,,,
2.75,-1.75,1970-01-01 01:05:56,,,,,
-1.25,-1.75,1970-01-01 01:06:06,1970-01-01 01:06:13,1970-01-01 01:06:37,7.0,24.0,31.0
0.25,-3.25,1970-01-01 01:06:16,,,,,
0.75,-2.75,1970-01-01 01:06:26,,,,,
1.25,3.25,1970-01-01 01:06:36,1970-01-01 01:08:34,1970-01-01 01:08:50,118.0,16.0,134.0
0.75,-1.75,1970-01-01 01:06:46,,,,,
-1.75,-0.75,1970-01-01 01:06:56,1970-01-01 01:07:12,,16.0,,
1.75,-1.25,1970-01-01 01:07:06,1970-01-01 01:07:24,1970-01-01 01:07:57,18.0,33.0,51.0
0.75,-4.25,1970-01-01 01:07:17,1970-01-01 01:07:22,1970-01-01 01:07:58,5.0,36.0,41.0
-2.25,-0.25,1970-01-01 01:07:27,1970-01-01 01:07:27,,0.0,,
1.25,-3.25,1970-01-01 01:07:37,,,,,
3.25,-1.25,1970-01-01 01:07:47,,,,,
3.75,-4.25,1970-01-01 01:07:57,1970-01-01 01:08:03,1970-01-01 01:08:49,6.0,46.0,52.0
1.75,-3.25,1970-01-01 01:08:07,1970-01-01 01:08:34,,27.0,,
-2.75,3.75,1970-01-01 01:08:17,,,,,
0.75,2.75,1970-01-01 01:08:27,1970-01-01 01:08:31,1970-01-01 01:08:56,4.0,25.0,29.0
-3.25,0.25,1970-01-01 01:08:37,,,,,
-1.25,-3.75,1970-01-01 01:08:47,,,,,
-2.25,4.25,1970-01-01 01:08:57,,,,,
-1.25,-0.75,1970-01-01 01:09:07,,,,,
1.25,-2.75,1970-01-01 01:09:18,1970-01-01 01:09:34,,16.0,,
-1.25,-0.25,1970-01-01 01:09:28,,,,,
0.25,2.75,1970-01-01 01:09:38,1970-01-01 01:09:53,,15.0,,
2.25,0.25,1970-01-01 01:09:48,1970-01-01 01:09:53,,5.0,,
-3.25,1.75,1970-01-01 01:09:58,1970-01-01 01:09:58,,0.0,,
-1.25,1.75,1970-01-01 01:10:08,,,,,
